account_id,customer-profile
9592,High potential
10151,Need attention
7381,Need attention
4099,High potential
9560,Need attention
1150,Stars
10172,Need attention
11191,Leaky Bucket
9707,Need attention
6245,Need attention
8234,Leaky Bucket
1411,Stars
8553,High potential
1826,Stars
8842,High potential
11030,Leaky Bucket
2579,Stars
175,Need attention
9185,Stars
11056,Need attention
9365,Need attention
6201,Leaky Bucket
2061,High potential
6184,Need attention
6142,Stars
4107,Leaky Bucket
7274,Need attention
9336,Stars
2958,Leaky Bucket
933,High potential
5837,High potential
10704,Need attention
5125,Need attention
4432,High potential
5955,Need attention
2928,Need attention
5680,Leaky Bucket
10313,High potential
2557,Leaky Bucket
1245,Need attention
1519,High potential
10703,High potential
1726,High potential
4459,High potential
1729,Stars
1517,High potential
2098,High potential
9543,Leaky Bucket
6878,High potential
3310,High potential
2724,Leaky Bucket
948,High potential
6720,Leaky Bucket
6202,Need attention
2066,High potential
9799,Need attention
8318,Stars
5642,Leaky Bucket
2669,Stars
455,High potential
7683,Stars
3428,Stars
7414,High potential
6354,High potential
798,High potential
8213,High potential
2488,High potential
9999,Need attention
7617,Leaky Bucket
615,High potential
2552,Leaky Bucket
194,Leaky Bucket
3645,High potential
8890,Stars
5049,High potential
9973,High potential
7301,High potential
10882,Need attention
7030,Need attention
7422,High potential
3523,Need attention
7106,Stars
6504,Leaky Bucket
5067,Stars
4216,Need attention
8581,Need attention
5929,Leaky Bucket
3129,Leaky Bucket
6528,Leaky Bucket
1361,Need attention
6932,Need attention
7284,Leaky Bucket
1340,Stars
8746,Stars
5987,Leaky Bucket
3767,Need attention
3725,Need attention
4324,High potential
238,Need attention
6694,Stars
498,Leaky Bucket
9347,High potential
9699,Stars
10664,Leaky Bucket
5455,Leaky Bucket
456,High potential
5012,High potential
7495,Leaky Bucket
5029,Leaky Bucket
10642,High potential
2106,Leaky Bucket
10364,High potential
5954,Leaky Bucket
1137,Stars
2541,High potential
1142,Leaky Bucket
2276,Need attention
2807,Need attention
6471,Leaky Bucket
6131,Stars
6233,Need attention
4148,High potential
4947,Need attention
3225,High potential
7540,Leaky Bucket
10648,Need attention
1992,Stars
7851,Stars
8594,Leaky Bucket
7059,Stars
2815,Leaky Bucket
2416,Stars
7999,Need attention
9213,High potential
9697,Leaky Bucket
3916,Need attention
2021,Need attention
1581,Leaky Bucket
564,Need attention
6619,High potential
9081,Leaky Bucket
178,Need attention
916,Leaky Bucket
5512,Stars
8970,Need attention
10581,High potential
5300,Leaky Bucket
5154,Leaky Bucket
8346,High potential
1676,Leaky Bucket
9286,Need attention
2426,Need attention
5172,Stars
5562,Need attention
3436,Leaky Bucket
3921,High potential
3403,Need attention
22,High potential
10965,Need attention
9426,Need attention
6605,Stars
3136,Need attention
8737,Leaky Bucket
11088,Need attention
716,Stars
466,Need attention
9135,High potential
10623,Leaky Bucket
8151,High potential
5140,Need attention
10160,High potential
4945,Need attention
10584,Stars
6071,Stars
3386,High potential
8939,Need attention
9925,High potential
4320,Need attention
5389,Leaky Bucket
6036,Stars
182,High potential
203,Need attention
11025,High potential
10203,High potential
4607,Stars
3711,Stars
3696,Leaky Bucket
2532,Stars
9214,Leaky Bucket
4943,Need attention
35,High potential
2258,High potential
4322,Stars
713,Leaky Bucket
4702,Need attention
3281,Leaky Bucket
702,High potential
2004,Stars
4769,Stars
4437,High potential
8724,High potential
10741,High potential
1991,Leaky Bucket
6931,Stars
11096,Leaky Bucket
304,Leaky Bucket
3665,Leaky Bucket
10591,High potential
5036,High potential
5547,Stars
7822,Need attention
8541,Leaky Bucket
10955,Stars
4368,Leaky Bucket
9671,Leaky Bucket
2256,Leaky Bucket
4279,Leaky Bucket
5371,Leaky Bucket
9240,Stars
9460,High potential
9504,Stars
8692,High potential
448,Need attention
8314,Need attention
8420,Leaky Bucket
3174,Need attention
7685,Leaky Bucket
3179,Need attention
9780,Stars
10681,Stars
10232,Leaky Bucket
4184,Leaky Bucket
9120,Need attention
891,Leaky Bucket
10381,Leaky Bucket
3525,High potential
6818,High potential
3526,Leaky Bucket
8181,Leaky Bucket
1029,Stars
7369,Leaky Bucket
2574,Need attention
8159,Leaky Bucket
1160,Leaky Bucket
10242,Leaky Bucket
5253,Leaky Bucket
5966,High potential
5314,High potential
5081,Leaky Bucket
5123,High potential
5756,Leaky Bucket
8036,Leaky Bucket
9058,Need attention
5057,Stars
254,Leaky Bucket
4179,Leaky Bucket
3710,High potential
7627,Need attention
4501,Stars
6424,Leaky Bucket
3075,Stars
4992,Leaky Bucket
5252,High potential
7444,Leaky Bucket
6919,High potential
3537,High potential
10277,High potential
2453,Need attention
7972,Stars
895,Need attention
1177,High potential
7141,High potential
7232,Leaky Bucket
8477,High potential
2457,High potential
988,Stars
7930,Leaky Bucket
4587,Leaky Bucket
6682,High potential
6222,Leaky Bucket
10299,Need attention
3083,Leaky Bucket
8953,High potential
1503,Stars
8650,High potential
10862,High potential
2782,Leaky Bucket
6941,High potential
10972,Stars
10708,Leaky Bucket
6583,Need attention
3641,High potential
10156,Need attention
4299,Need attention
3469,High potential
5063,High potential
10727,Stars
9624,Stars
5156,Stars
4376,Leaky Bucket
8923,Need attention
8461,Leaky Bucket
6945,Need attention
944,High potential
1907,Need attention
701,Stars
3856,Need attention
4149,Stars
2131,Need attention
2942,High potential
1173,Need attention
4381,Leaky Bucket
4611,Need attention
3376,Leaky Bucket
4679,Stars
10928,Stars
4248,Stars
6728,High potential
6661,Need attention
4725,Leaky Bucket
3277,High potential
5555,Stars
2564,Leaky Bucket
946,High potential
3867,Stars
6940,Leaky Bucket
55,Need attention
7093,Leaky Bucket
5084,Stars
1777,High potential
8162,High potential
10826,High potential
8754,High potential
1987,Leaky Bucket
11007,High potential
7426,Leaky Bucket
9153,Stars
10379,Stars
9204,Need attention
3197,Stars
2920,Need attention
6961,Leaky Bucket
4673,Need attention
9937,Stars
8779,High potential
9596,Stars
2891,Stars
4910,Need attention
75,Leaky Bucket
10120,Leaky Bucket
6327,Stars
10142,Need attention
9826,Need attention
1501,Need attention
10767,Stars
7279,Stars
7230,High potential
143,Stars
450,Leaky Bucket
9316,Leaky Bucket
6379,High potential
9239,Leaky Bucket
8315,Leaky Bucket
2868,High potential
10888,Leaky Bucket
1277,Stars
9977,Stars
10196,Stars
6384,Stars
8029,Stars
968,Leaky Bucket
6988,Need attention
4472,Leaky Bucket
6991,High potential
3336,Stars
4301,High potential
1940,High potential
1272,Need attention
1388,High potential
1044,Need attention
6969,Leaky Bucket
10479,Need attention
3619,Need attention
1715,High potential
10159,Need attention
1463,Leaky Bucket
5114,Need attention
4990,Need attention
4329,Leaky Bucket
10936,Need attention
4692,High potential
7212,Leaky Bucket
6086,Stars
437,Stars
11171,Leaky Bucket
11101,Need attention
5329,Leaky Bucket
610,High potential
9384,Need attention
5956,Leaky Bucket
10430,Stars
7875,Stars
7072,Need attention
6255,Stars
6516,High potential
5564,Need attention
5682,Need attention
7458,High potential
5237,Leaky Bucket
7761,Leaky Bucket
5278,Stars
3560,Need attention
7235,Leaky Bucket
10548,Stars
2281,Leaky Bucket
4073,Stars
6974,Stars
7938,Leaky Bucket
7094,Stars
3667,Need attention
7723,Stars
3870,Need attention
4012,Need attention
5909,Stars
10470,High potential
6488,Leaky Bucket
10270,Leaky Bucket
6887,Stars
6406,Stars
7573,High potential
4508,Stars
221,High potential
5331,Need attention
1911,Need attention
20,Leaky Bucket
8786,Need attention
10582,Stars
1915,Stars
8897,High potential
2371,High potential
4303,High potential
6825,High potential
1072,Leaky Bucket
4964,Stars
2461,Leaky Bucket
10736,Stars
3194,Stars
10839,Leaky Bucket
49,Leaky Bucket
4290,Leaky Bucket
10219,High potential
4211,High potential
1135,Leaky Bucket
6299,High potential
10846,Leaky Bucket
347,High potential
6543,Need attention
10446,Need attention
3479,High potential
11075,Leaky Bucket
4442,High potential
199,High potential
6722,Stars
796,Need attention
3749,Need attention
8523,Leaky Bucket
310,Stars
8629,High potential
236,High potential
9930,Stars
3483,Need attention
4599,Leaky Bucket
7326,Leaky Bucket
7352,Leaky Bucket
2350,Need attention
9145,Need attention
2964,Leaky Bucket
5585,High potential
9687,Stars
3732,Need attention
6303,Stars
11176,Stars
2986,Leaky Bucket
7462,High potential
3900,Stars
7034,Leaky Bucket
9493,Need attention
1143,Leaky Bucket
1,Stars
3855,High potential
5536,Need attention
5989,Need attention
9499,Need attention
6768,High potential
2150,Need attention
6646,Leaky Bucket
4887,Leaky Bucket
8560,High potential
3321,Need attention
11003,Leaky Bucket
10402,High potential
9904,Need attention
6141,High potential
5687,Need attention
10856,High potential
5121,Stars
4186,Leaky Bucket
368,High potential
3312,Leaky Bucket
11121,High potential
5332,Stars
5848,Stars
10343,Need attention
5935,Need attention
2895,Leaky Bucket
10262,High potential
7848,High potential
9477,Stars
4856,Need attention
7186,Leaky Bucket
5794,Leaky Bucket
1456,Need attention
4877,Leaky Bucket
425,Need attention
3007,High potential
1031,Need attention
4297,Leaky Bucket
807,Leaky Bucket
9553,High potential
4271,High potential
4120,Leaky Bucket
2036,High potential
115,High potential
4259,Leaky Bucket
8687,High potential
2447,High potential
10140,Stars
9353,Stars
3623,Leaky Bucket
738,Leaky Bucket
7631,Stars
4789,Stars
773,High potential
10602,High potential
1446,Stars
3270,High potential
8443,Leaky Bucket
9653,High potential
8916,Leaky Bucket
8017,Leaky Bucket
5830,Need attention
4597,Need attention
7023,High potential
8086,Leaky Bucket
8825,High potential
2930,Stars
1928,High potential
7108,High potential
10925,Stars
9960,Leaky Bucket
8800,Need attention
9224,Need attention
5519,Stars
5046,Stars
7037,Leaky Bucket
905,Leaky Bucket
8624,Need attention
8945,Leaky Bucket
6445,Stars
2727,Leaky Bucket
6404,High potential
11074,Stars
10150,Stars
1968,Leaky Bucket
6534,Leaky Bucket
9485,Leaky Bucket
7053,Need attention
4654,Stars
9760,Need attention
1048,High potential
10619,Need attention
9308,Need attention
10505,Stars
8362,Stars
2625,Leaky Bucket
4637,Need attention
9972,Leaky Bucket
4483,Need attention
4487,High potential
4988,Leaky Bucket
8931,Stars
5871,High potential
2008,Stars
3139,Stars
10037,Stars
10673,Stars
5303,Stars
538,Leaky Bucket
7922,Need attention
5692,High potential
4843,Stars
6383,Leaky Bucket
1628,Stars
1204,Need attention
3673,Stars
760,Stars
8957,Need attention
4128,Stars
6810,Need attention
5386,Need attention
8700,High potential
3202,Need attention
1328,Stars
8405,Stars
6515,Leaky Bucket
2882,Need attention
7574,Leaky Bucket
6387,Leaky Bucket
5320,High potential
5048,High potential
8146,Leaky Bucket
10031,High potential
5748,Need attention
2134,Need attention
1523,Leaky Bucket
9665,High potential
4640,Need attention
3635,Leaky Bucket
3547,High potential
2456,Leaky Bucket
5633,Leaky Bucket
7801,Stars
10489,Stars
7011,High potential
2620,High potential
3933,High potential
10981,Stars
1734,High potential
10995,High potential
6357,Stars
9209,Need attention
10286,Stars
2611,Need attention
1600,Leaky Bucket
3308,Leaky Bucket
5407,Stars
2166,Leaky Bucket
3955,Leaky Bucket
6634,Leaky Bucket
3056,Stars
5718,Stars
6872,Stars
8164,Stars
4580,Stars
9305,Need attention
453,Leaky Bucket
8545,Stars
9850,High potential
7378,High potential
7646,Stars
1640,Leaky Bucket
5184,Leaky Bucket
8492,Stars
11188,Leaky Bucket
1212,Stars
9097,Leaky Bucket
10473,Need attention
7962,Stars
9984,Need attention
5527,High potential
6374,High potential
7453,High potential
8952,Need attention
241,Need attention
8975,Leaky Bucket
6119,High potential
5236,Need attention
5723,Leaky Bucket
1710,High potential
1970,High potential
5313,Leaky Bucket
10634,Stars
7010,Stars
8562,High potential
3158,High potential
4436,High potential
5287,Leaky Bucket
2445,High potential
6059,Need attention
4550,Leaky Bucket
4240,High potential
8911,Need attention
3706,Leaky Bucket
3628,High potential
10175,Leaky Bucket
8985,Need attention
5204,Need attention
9220,Need attention
9888,Stars
5263,High potential
1020,Stars
9503,High potential
10613,Leaky Bucket
67,Leaky Bucket
6019,Leaky Bucket
5863,High potential
3717,Stars
6730,High potential
10749,High potential
4998,Stars
6287,Leaky Bucket
5985,High potential
4754,Leaky Bucket
4002,Stars
8870,High potential
966,High potential
4767,Stars
9725,Leaky Bucket
4475,Need attention
5740,High potential
5731,High potential
7290,Need attention
3846,High potential
8104,Leaky Bucket
4507,Need attention
11013,Need attention
4491,Need attention
3759,Stars
1162,High potential
2055,Leaky Bucket
10766,Stars
4415,High potential
3005,Stars
2223,Need attention
4817,High potential
2875,Stars
10536,Leaky Bucket
11112,Need attention
3807,Need attention
9197,Leaky Bucket
10832,Leaky Bucket
6421,Need attention
4207,Need attention
577,Leaky Bucket
10855,Leaky Bucket
3081,High potential
3535,Stars
247,High potential
8707,Need attention
9523,Leaky Bucket
6072,Need attention
6295,Need attention
10914,Leaky Bucket
1509,Need attention
5577,Leaky Bucket
7348,Stars
1127,Stars
1833,Leaky Bucket
4944,Stars
9080,High potential
6466,Leaky Bucket
9964,Stars
4790,Stars
10245,Need attention
1109,High potential
6001,Need attention
5538,Stars
10552,High potential
1545,Leaky Bucket
7409,Leaky Bucket
4444,Leaky Bucket
146,Stars
6271,Leaky Bucket
10065,Leaky Bucket
4741,Stars
246,Stars
375,Need attention
1524,Need attention
10022,Leaky Bucket
7451,Stars
11010,Leaky Bucket
4356,Stars
3885,Leaky Bucket
1175,Leaky Bucket
880,High potential
2320,Leaky Bucket
850,Stars
4713,High potential
675,High potential
5025,Leaky Bucket
2308,High potential
5995,High potential
6749,Need attention
1010,Leaky Bucket
8977,High potential
4756,Stars
3412,Need attention
606,Leaky Bucket
5961,Leaky Bucket
2975,Need attention
2894,Stars
7613,Leaky Bucket
10542,High potential
8015,Need attention
10617,Leaky Bucket
11166,High potential
849,Need attention
523,High potential
4066,Leaky Bucket
8414,Leaky Bucket
819,Stars
4961,Leaky Bucket
749,Leaky Bucket
5430,Need attention
7755,Leaky Bucket
10525,High potential
1453,Need attention
8310,Need attention
10710,High potential
5031,Need attention
2613,Leaky Bucket
213,Leaky Bucket
967,Leaky Bucket
1077,Need attention
7959,Stars
640,Need attention
4252,Leaky Bucket
8432,Need attention
6218,Need attention
6905,Need attention
5922,Leaky Bucket
3598,Need attention
6116,Leaky Bucket
6263,High potential
10486,Need attention
2410,Stars
193,Leaky Bucket
3363,Leaky Bucket
8278,Need attention
10660,Stars
8686,High potential
1604,Leaky Bucket
5907,High potential
10669,High potential
2918,High potential
5735,Stars
359,High potential
8387,High potential
1829,Need attention
3839,High potential
9392,Leaky Bucket
2292,Leaky Bucket
10466,Leaky Bucket
9855,Stars
4088,High potential
5231,Leaky Bucket
590,Need attention
8732,Need attention
2315,Leaky Bucket
3515,Leaky Bucket
2245,High potential
6283,Need attention
2246,Leaky Bucket
6606,Need attention
5545,Stars
7342,Need attention
837,Leaky Bucket
9500,Need attention
3602,Leaky Bucket
234,High potential
2995,Stars
1118,Need attention
7789,Stars
3068,Leaky Bucket
8955,Leaky Bucket
945,High potential
5644,Leaky Bucket
7192,Need attention
2324,Stars
697,Need attention
3439,High potential
1506,High potential
232,Stars
8876,High potential
4500,Stars
9739,High potential
10395,High potential
1176,Leaky Bucket
1627,Need attention
938,Leaky Bucket
2740,Leaky Bucket
257,Need attention
4058,Stars
7736,High potential
8210,Leaky Bucket
833,Leaky Bucket
6230,High potential
7325,High potential
1307,Leaky Bucket
1502,High potential
6211,Leaky Bucket
843,Stars
4174,Leaky Bucket
9757,Stars
6918,High potential
286,Leaky Bucket
11086,Leaky Bucket
1921,Leaky Bucket
4138,Stars
7718,Stars
1291,High potential
6862,Leaky Bucket
4136,High potential
803,High potential
4298,Leaky Bucket
10833,Stars
9606,Stars
8534,Stars
5153,Need attention
961,Stars
5011,Stars
6653,High potential
9094,Need attention
810,Stars
5493,Leaky Bucket
2147,Need attention
5107,Leaky Bucket
3979,Need attention
6049,Stars
8147,High potential
1857,Leaky Bucket
3910,Stars
5207,Need attention
11114,High potential
5429,Leaky Bucket
9400,Stars
1740,Stars
7488,Need attention
195,High potential
635,Need attention
7527,High potential
10319,Need attention
2296,Leaky Bucket
10637,High potential
2931,Need attention
907,Leaky Bucket
3698,Need attention
9516,Need attention
679,High potential
7384,Leaky Bucket
5043,High potential
5267,High potential
339,High potential
2516,High potential
9010,Need attention
378,Need attention
4808,Leaky Bucket
5068,Leaky Bucket
7628,Leaky Bucket
7128,Leaky Bucket
2811,Leaky Bucket
3551,Leaky Bucket
1663,Leaky Bucket
5543,Need attention
1577,Stars
10641,High potential
5336,Stars
6024,Need attention
1878,Leaky Bucket
3099,High potential
6055,Need attention
5841,Need attention
3972,High potential
4394,Stars
5758,Stars
6658,Need attention
4603,Stars
8427,Need attention
10260,Leaky Bucket
7143,Stars
8789,Leaky Bucket
6197,High potential
4554,Leaky Bucket
4937,Leaky Bucket
1920,Leaky Bucket
8749,Leaky Bucket
1650,Need attention
10377,High potential
9206,Stars
10971,High potential
6398,Leaky Bucket
9212,Need attention
7937,Leaky Bucket
839,Leaky Bucket
4246,Leaky Bucket
158,Stars
4832,Leaky Bucket
5621,High potential
1945,Stars
5147,Stars
2535,Need attention
11039,Leaky Bucket
9495,Need attention
9635,Leaky Bucket
2173,Leaky Bucket
942,High potential
9386,Leaky Bucket
5510,High potential
873,Need attention
2253,High potential
5181,High potential
979,High potential
10390,High potential
4698,High potential
7793,Stars
1745,Need attention
10590,Need attention
5080,Stars
8369,High potential
5232,Stars
2407,Need attention
3834,Need attention
7912,High potential
7712,Stars
1065,Stars
7275,Leaky Bucket
1343,Need attention
1384,Leaky Bucket
9967,High potential
6181,Need attention
10507,Stars
2674,Need attention
2698,Leaky Bucket
3231,Leaky Bucket
4096,Leaky Bucket
10476,Stars
5948,Leaky Bucket
9140,Leaky Bucket
10258,High potential
5675,High potential
4743,Need attention
8805,High potential
1542,Leaky Bucket
6770,Leaky Bucket
8773,High potential
10420,Leaky Bucket
7514,Leaky Bucket
793,High potential
10909,Stars
8702,Leaky Bucket
4791,High potential
2963,Stars
8216,Leaky Bucket
8140,Leaky Bucket
10146,Leaky Bucket
5289,High potential
2587,Leaky Bucket
4405,Stars
8663,Leaky Bucket
2589,Leaky Bucket
3421,Need attention
10490,High potential
4094,High potential
9958,Stars
2534,Leaky Bucket
4188,High potential
6613,High potential
10827,High potential
5491,High potential
8402,Stars
8783,High potential
10010,High potential
618,Need attention
9121,Need attention
361,Leaky Bucket
4310,Stars
2678,High potential
6376,Need attention
524,High potential
10341,Leaky Bucket
5654,Leaky Bucket
4098,Leaky Bucket
5824,Leaky Bucket
7000,Stars
2561,Need attention
5229,Leaky Bucket
4086,High potential
2428,High potential
8254,High potential
2836,Leaky Bucket
8418,Leaky Bucket
1362,High potential
7152,High potential
10033,Leaky Bucket
9349,Stars
274,Leaky Bucket
3388,Stars
922,High potential
8588,High potential
2518,High potential
574,Leaky Bucket
3220,High potential
5967,Leaky Bucket
1183,Leaky Bucket
6856,High potential
4530,Need attention
1553,Stars
4682,Leaky Bucket
8204,Need attention
5221,Need attention
1232,Stars
1927,Stars
5788,High potential
6652,Stars
6246,Stars
5975,Leaky Bucket
6875,High potential
4399,Stars
4042,High potential
2157,High potential
10133,Stars
2525,High potential
8233,Stars
9483,Stars
2945,Leaky Bucket
10403,Leaky Bucket
5074,High potential
10524,Need attention
4690,High potential
7521,Need attention
7196,Leaky Bucket
4406,Need attention
9672,Leaky Bucket
4864,High potential
4706,High potential
4070,Need attention
25,Need attention
3697,High potential
217,Need attention
4220,Leaky Bucket
5286,Leaky Bucket
9559,Stars
2849,Need attention
7787,Need attention
3102,Leaky Bucket
5868,Leaky Bucket
8370,Need attention
9988,Need attention
2939,Stars
5529,Stars
9743,Need attention
5763,Leaky Bucket
3478,Need attention
7494,High potential
1763,Need attention
7250,Stars
2005,Leaky Bucket
10770,Stars
6885,Leaky Bucket
2072,Need attention
9463,Need attention
6318,Need attention
4093,High potential
5751,Leaky Bucket
3340,High potential
3594,Need attention
3584,Need attention
3643,Stars
851,Stars
7706,Need attention
3967,Stars
10128,Need attention
486,Stars
9,High potential
9451,Need attention
9264,Stars
3865,High potential
2853,Leaky Bucket
1490,Need attention
6310,Leaky Bucket
10380,Leaky Bucket
3887,High potential
4278,Need attention
8643,Need attention
1998,Leaky Bucket
10795,Leaky Bucket
11110,High potential
2408,Need attention
202,Stars
7998,High potential
830,Stars
3536,High potential
6050,Need attention
125,High potential
3463,Stars
2804,High potential
3745,High potential
9771,High potential
451,Leaky Bucket
10530,Stars
1079,Need attention
8920,Need attention
6678,Leaky Bucket
3852,Need attention
528,Need attention
73,High potential
5589,Need attention
10212,High potential
6365,Leaky Bucket
5636,High potential
591,Need attention
2217,High potential
2544,Leaky Bucket
7725,Stars
8091,Need attention
7321,Stars
5462,Need attention
7791,Leaky Bucket
955,High potential
4037,High potential
6642,High potential
2793,Stars
5424,High potential
879,Leaky Bucket
9530,High potential
4828,Stars
10699,Leaky Bucket
1497,High potential
7476,Need attention
4390,Stars
10478,Need attention
1081,Need attention
4261,Need attention
9916,High potential
5350,Stars
8135,Leaky Bucket
8685,High potential
4967,High potential
2130,Leaky Bucket
9298,Stars
8175,High potential
6257,Need attention
3790,Leaky Bucket
9952,Stars
3503,Stars
5223,Leaky Bucket
4608,Stars
1626,Leaky Bucket
4764,High potential
2471,Leaky Bucket
5892,High potential
2612,Stars
4971,High potential
5185,Need attention
10069,High potential
2262,Leaky Bucket
1131,Leaky Bucket
1041,High potential
24,Leaky Bucket
3409,Leaky Bucket
7022,Need attention
7943,Leaky Bucket
5272,Need attention
5453,Need attention
2565,Need attention
800,Leaky Bucket
11092,Leaky Bucket
5062,Leaky Bucket
8969,Need attention
4656,Need attention
4480,Stars
9971,Stars
6729,Need attention
1773,High potential
9242,Stars
1764,Leaky Bucket
6215,Leaky Bucket
10099,Stars
5423,Leaky Bucket
940,Leaky Bucket
3011,Stars
3298,Need attention
8286,Leaky Bucket
9668,High potential
5120,Need attention
6097,High potential
7019,High potential
7408,Leaky Bucket
8041,Need attention
252,High potential
9986,Leaky Bucket
3276,Leaky Bucket
3859,Stars
3570,Leaky Bucket
3783,Leaky Bucket
10207,High potential
10906,Leaky Bucket
3427,Need attention
5209,High potential
10711,Stars
10785,Leaky Bucket
2814,High potential
