account_id,education
9529,Graduation
6439,Graduation
7411,PhD
2176,Graduation
9265,Graduation
8867,PhD
8932,Master
10236,Master
6340,Graduation
10089,Graduation
2227,2n Cycle
10992,Graduation
5304,PhD
309,PhD
3406,Graduation
2661,Graduation
3153,PhD
10264,Graduation
1184,PhD
4200,Master
9396,PhD
2387,Master
6690,Master
1225,Graduation
9703,PhD
291,Graduation
4557,Graduation
2379,Graduation
5726,Master
3066,PhD
6336,Graduation
10967,Graduation
2304,PhD
3445,Graduation
7828,Master
3762,PhD
4391,Master
4669,Basic
10144,Graduation
8652,Graduation
1672,PhD
8962,Master
9974,Graduation
10983,Graduation
8148,Master
10102,Graduation
4697,Master
9262,2n Cycle
7254,Graduation
4543,Graduation
4927,Graduation
10451,Graduation
2926,Master
2874,2n Cycle
9738,Master
7119,Graduation
3924,PhD
5827,Graduation
5596,2n Cycle
10812,PhD
1717,Graduation
9491,Graduation
9274,Master
6609,Graduation
6963,Graduation
4440,Master
1379,Master
10032,Graduation
2826,Graduation
6320,Master
3050,Graduation
231,Master
2392,Graduation
9478,Graduation
113,Graduation
1802,Graduation
520,Graduation
8275,PhD
9750,PhD
2607,Graduation
7214,Graduation
5835,PhD
3896,Graduation
10350,PhD
7786,PhD
2861,Graduation
663,PhD
10675,PhD
2521,Master
9592,Graduation
10151,Graduation
7381,Graduation
4099,Graduation
9560,Graduation
1150,PhD
10172,Graduation
11191,Graduation
9707,PhD
6245,PhD
8234,Basic
1411,Graduation
8553,Graduation
1826,Graduation
8842,Graduation
11030,Master
2579,Graduation
175,Graduation
9185,PhD
11056,Graduation
9365,PhD
6201,Graduation
2061,Graduation
6184,PhD
6142,Master
4107,PhD
7274,Graduation
9336,PhD
2958,Graduation
933,PhD
5837,Graduation
10704,Graduation
5125,Graduation
4432,Graduation
5955,Graduation
2928,PhD
5680,2n Cycle
10313,Graduation
2557,Master
1245,Graduation
1519,PhD
10703,Master
1726,Graduation
4459,Graduation
1729,PhD
1517,Graduation
2098,PhD
9543,Graduation
6878,Graduation
3310,2n Cycle
2724,Master
948,Graduation
6720,Master
6202,Graduation
2066,Graduation
9799,PhD
8318,Graduation
5642,Master
2669,Graduation
455,PhD
7683,Master
3428,PhD
7414,Graduation
6354,Graduation
798,Graduation
8213,2n Cycle
2488,2n Cycle
9999,Graduation
7617,Graduation
615,Graduation
2552,PhD
194,Graduation
3645,PhD
8890,PhD
5049,PhD
9973,Graduation
7301,2n Cycle
10882,Graduation
7030,PhD
7422,Graduation
3523,Graduation
7106,PhD
6504,2n Cycle
5067,Graduation
4216,Graduation
8581,Master
5929,PhD
3129,Graduation
6528,Master
1361,Master
6932,PhD
7284,Graduation
1340,Graduation
8746,Graduation
5987,2n Cycle
3767,Graduation
3725,PhD
4324,Graduation
238,2n Cycle
6694,Graduation
498,Graduation
9347,Master
9699,Graduation
10664,Master
5455,PhD
456,2n Cycle
5012,Graduation
7495,PhD
5029,Graduation
10642,Graduation
2106,2n Cycle
10364,Graduation
5954,Master
1137,Graduation
2541,Graduation
1142,PhD
2276,Graduation
2807,Graduation
6471,Master
6131,2n Cycle
6233,Graduation
4148,Graduation
4947,2n Cycle
3225,Master
7540,Graduation
10648,2n Cycle
1992,Graduation
7851,Graduation
8594,PhD
7059,Graduation
2815,Graduation
2416,PhD
7999,PhD
9213,Graduation
9697,Graduation
3916,PhD
2021,Graduation
1581,Graduation
564,PhD
6619,Graduation
9081,Graduation
178,Graduation
916,PhD
5512,Master
8970,PhD
10581,Graduation
5300,Master
5154,Master
8346,Graduation
1676,Graduation
9286,Master
2426,PhD
5172,Master
5562,Graduation
3436,Graduation
3921,2n Cycle
3403,PhD
22,Graduation
10965,Graduation
9426,Master
6605,PhD
3136,Master
8737,Graduation
11088,PhD
716,PhD
466,Graduation
9135,Graduation
10623,Master
8151,Basic
5140,PhD
10160,Master
4945,Graduation
10584,Graduation
6071,Graduation
3386,Graduation
8939,Graduation
9925,PhD
4320,Graduation
5389,Graduation
6036,Master
182,PhD
203,Master
11025,Graduation
10203,Graduation
4607,Graduation
3711,Master
3696,Graduation
2532,Master
9214,Graduation
4943,Graduation
35,Graduation
2258,Graduation
4322,PhD
713,Master
4702,Graduation
3281,PhD
702,2n Cycle
2004,Graduation
4769,Master
4437,Graduation
8724,Graduation
10741,Master
1991,Graduation
6931,Graduation
11096,2n Cycle
304,Master
3665,2n Cycle
10591,Graduation
5036,PhD
5547,PhD
7822,Graduation
8541,2n Cycle
10955,Graduation
4368,Graduation
9671,Graduation
2256,Master
4279,2n Cycle
5371,Graduation
9240,PhD
9460,Graduation
9504,Master
8692,Graduation
448,PhD
8314,Graduation
8420,2n Cycle
3174,Graduation
7685,Graduation
3179,Graduation
9780,Master
10681,2n Cycle
10232,PhD
4184,PhD
9120,Graduation
891,Master
10381,Graduation
3525,Graduation
6818,Graduation
3526,PhD
8181,2n Cycle
1029,PhD
7369,Master
2574,PhD
8159,Graduation
1160,Graduation
10242,PhD
5253,Master
5966,PhD
5314,Graduation
5081,2n Cycle
5123,Master
5756,Graduation
8036,2n Cycle
9058,Graduation
5057,Master
254,Graduation
4179,Graduation
3710,PhD
7627,Master
4501,Master
6424,Graduation
3075,PhD
4992,Master
5252,Graduation
7444,Master
6919,2n Cycle
3537,Graduation
10277,Graduation
2453,Graduation
7972,Graduation
895,PhD
1177,Master
7141,Master
7232,Graduation
8477,Graduation
2457,Basic
988,Graduation
7930,Master
4587,Master
6682,Basic
6222,Graduation
10299,PhD
3083,Graduation
8953,Master
1503,PhD
8650,Graduation
10862,Master
2782,PhD
6941,Graduation
10972,Graduation
10708,2n Cycle
6583,2n Cycle
3641,Graduation
10156,Graduation
4299,Graduation
3469,PhD
5063,Graduation
10727,PhD
9624,PhD
5156,2n Cycle
4376,2n Cycle
8923,Graduation
8461,Graduation
6945,Graduation
944,Graduation
1907,Master
701,Graduation
3856,Graduation
4149,PhD
2131,PhD
2942,Graduation
1173,Master
4381,PhD
4611,Graduation
3376,Master
4679,Master
10928,Graduation
4248,Master
6728,Graduation
6661,Graduation
4725,PhD
3277,Graduation
5555,Graduation
2564,Graduation
946,2n Cycle
3867,PhD
6940,PhD
55,Graduation
7093,Graduation
5084,Graduation
1777,Basic
8162,Master
10826,Graduation
8754,PhD
1987,Basic
11007,PhD
7426,2n Cycle
9153,PhD
10379,Master
9204,Graduation
3197,Graduation
2920,PhD
6961,Graduation
4673,PhD
9937,Graduation
8779,2n Cycle
9596,PhD
2891,Graduation
4910,Graduation
75,2n Cycle
10120,Graduation
6327,Graduation
10142,PhD
9826,PhD
1501,PhD
10767,PhD
7279,PhD
7230,PhD
143,Graduation
450,Master
9316,Basic
6379,Master
9239,Master
8315,Graduation
2868,PhD
10888,Graduation
1277,Graduation
9977,Graduation
10196,Graduation
6384,Graduation
8029,Master
968,Master
6988,Graduation
4472,PhD
6991,Graduation
3336,PhD
4301,Master
1940,Graduation
1272,Master
1388,Graduation
1044,Graduation
6969,Graduation
10479,PhD
3619,2n Cycle
1715,Graduation
10159,Graduation
1463,Graduation
5114,Master
4990,Graduation
4329,PhD
10936,Graduation
4692,Graduation
7212,Graduation
6086,Graduation
437,Master
11171,Master
11101,Graduation
5329,PhD
610,PhD
9384,Graduation
5956,PhD
10430,Graduation
7875,Graduation
7072,Graduation
6255,Master
6516,Basic
5564,Graduation
5682,PhD
7458,Master
5237,PhD
7761,2n Cycle
5278,Graduation
3560,Graduation
7235,2n Cycle
10548,Graduation
2281,Graduation
4073,2n Cycle
6974,PhD
7938,PhD
7094,Graduation
3667,Graduation
7723,Graduation
3870,2n Cycle
4012,PhD
5909,Graduation
10470,Master
6488,PhD
10270,2n Cycle
6887,Graduation
6406,Master
7573,PhD
4508,Graduation
221,Graduation
5331,Graduation
1911,Graduation
20,2n Cycle
8786,Master
10582,Graduation
1915,PhD
8897,Graduation
2371,Graduation
4303,PhD
6825,Graduation
1072,PhD
4964,PhD
2461,Master
10736,Graduation
3194,PhD
10839,Graduation
49,Graduation
4290,Graduation
10219,Graduation
4211,Basic
1135,Master
6299,PhD
10846,Master
347,Graduation
6543,Master
10446,PhD
3479,Graduation
11075,Graduation
4442,Graduation
199,Master
6722,PhD
796,2n Cycle
3749,Graduation
8523,Graduation
310,Master
8629,Graduation
236,Graduation
9930,PhD
3483,Graduation
4599,Master
7326,Master
7352,Graduation
2350,Graduation
9145,Graduation
2964,Graduation
5585,Graduation
9687,Graduation
3732,Master
6303,PhD
11176,PhD
2986,Graduation
7462,Graduation
3900,Graduation
7034,2n Cycle
9493,PhD
1143,Graduation
1,Graduation
3855,Graduation
5536,Graduation
5989,2n Cycle
9499,Graduation
6768,Graduation
2150,PhD
6646,Graduation
4887,PhD
8560,Graduation
3321,PhD
11003,2n Cycle
10402,Graduation
9904,Graduation
6141,Master
5687,Graduation
10856,2n Cycle
5121,Graduation
4186,Graduation
368,Graduation
3312,Graduation
11121,Graduation
5332,2n Cycle
5848,Graduation
10343,2n Cycle
5935,Master
2895,Graduation
10262,Graduation
7848,Graduation
9477,PhD
4856,2n Cycle
7186,PhD
5794,PhD
1456,Graduation
4877,Master
425,Graduation
3007,Graduation
1031,2n Cycle
4297,Graduation
807,Master
9553,Graduation
4271,2n Cycle
4120,2n Cycle
2036,PhD
115,Master
4259,Master
8687,Graduation
2447,Graduation
10140,PhD
9353,Graduation
3623,Graduation
738,2n Cycle
7631,Master
4789,Graduation
773,Master
10602,Graduation
1446,Master
3270,2n Cycle
8443,Graduation
9653,Graduation
8916,Graduation
8017,2n Cycle
5830,PhD
4597,PhD
7023,PhD
8086,Graduation
8825,Graduation
2930,Master
1928,Graduation
7108,Master
10925,Graduation
9960,Basic
8800,PhD
9224,PhD
5519,Graduation
5046,Graduation
7037,PhD
905,Graduation
8624,Graduation
8945,Graduation
6445,Graduation
2727,Graduation
6404,Graduation
11074,Graduation
10150,Graduation
1968,Graduation
6534,Graduation
9485,PhD
7053,PhD
4654,Graduation
9760,PhD
1048,Master
10619,Graduation
9308,Graduation
10505,Master
8362,PhD
2625,2n Cycle
4637,PhD
9972,PhD
4483,Graduation
4487,Master
4988,PhD
8931,Graduation
5871,Master
2008,Graduation
3139,2n Cycle
10037,Graduation
10673,PhD
5303,PhD
538,Graduation
7922,PhD
5692,Basic
4843,Graduation
6383,PhD
1628,Graduation
1204,PhD
3673,Graduation
760,PhD
8957,2n Cycle
4128,PhD
6810,Graduation
5386,Graduation
8700,Basic
3202,PhD
1328,2n Cycle
8405,Graduation
6515,Graduation
2882,2n Cycle
7574,PhD
6387,PhD
5320,Master
5048,PhD
8146,Master
10031,PhD
5748,Graduation
2134,Graduation
1523,Graduation
9665,PhD
4640,Graduation
3635,PhD
3547,Master
2456,PhD
5633,Graduation
7801,Graduation
10489,Graduation
7011,Graduation
2620,PhD
3933,Graduation
10981,Graduation
1734,PhD
10995,2n Cycle
6357,2n Cycle
9209,Master
10286,Graduation
2611,Master
1600,Master
3308,Graduation
5407,Graduation
2166,2n Cycle
3955,Graduation
6634,Master
3056,Graduation
5718,Graduation
6872,PhD
8164,PhD
4580,Graduation
9305,2n Cycle
453,PhD
8545,Graduation
9850,2n Cycle
7378,Master
7646,Graduation
1640,Graduation
5184,Graduation
8492,Graduation
11188,Graduation
1212,Graduation
9097,Graduation
10473,PhD
7962,PhD
9984,2n Cycle
5527,Graduation
6374,PhD
7453,Graduation
8952,Master
241,Graduation
8975,Graduation
6119,PhD
5236,Graduation
5723,PhD
1710,Graduation
1970,Master
5313,Master
10634,Master
7010,2n Cycle
8562,Graduation
3158,Graduation
4436,Graduation
5287,Graduation
2445,PhD
6059,PhD
4550,Master
4240,Graduation
8911,PhD
3706,Graduation
3628,Basic
10175,PhD
8985,2n Cycle
5204,Graduation
9220,Graduation
9888,Graduation
5263,2n Cycle
1020,Graduation
9503,Graduation
10613,PhD
67,Master
6019,PhD
5863,Graduation
3717,Graduation
6730,Graduation
10749,Graduation
4998,Graduation
6287,Graduation
5985,Master
4754,Master
4002,PhD
8870,Graduation
966,Graduation
4767,2n Cycle
9725,PhD
4475,PhD
5740,2n Cycle
5731,Master
7290,Graduation
3846,Graduation
8104,PhD
4507,Graduation
11013,Graduation
4491,Master
3759,Graduation
1162,PhD
2055,PhD
10766,PhD
4415,Graduation
3005,Graduation
2223,2n Cycle
4817,Graduation
2875,Graduation
10536,PhD
11112,Graduation
3807,Graduation
9197,Graduation
10832,Graduation
6421,Graduation
4207,PhD
577,2n Cycle
10855,Master
3081,PhD
3535,Graduation
247,Graduation
8707,Graduation
9523,Graduation
6072,Master
6295,Graduation
10914,Graduation
1509,PhD
5577,Graduation
7348,PhD
1127,PhD
1833,PhD
4944,Graduation
9080,PhD
6466,PhD
9964,Graduation
4790,Graduation
10245,2n Cycle
1109,Master
6001,Graduation
5538,Graduation
10552,2n Cycle
1545,Graduation
7409,Graduation
4444,Graduation
146,PhD
6271,PhD
10065,2n Cycle
4741,2n Cycle
246,Graduation
375,Graduation
1524,2n Cycle
10022,PhD
7451,Master
11010,PhD
4356,Graduation
3885,PhD
1175,Master
880,Basic
2320,2n Cycle
850,Graduation
4713,PhD
675,Master
5025,Graduation
2308,Graduation
5995,Graduation
6749,Graduation
1010,Graduation
8977,Basic
4756,2n Cycle
3412,Master
606,Graduation
5961,Graduation
2975,Graduation
2894,Graduation
7613,2n Cycle
10542,PhD
8015,PhD
10617,Master
11166,Graduation
849,Master
523,Graduation
4066,2n Cycle
8414,PhD
819,Graduation
4961,Master
749,Graduation
5430,Graduation
7755,PhD
10525,Graduation
1453,PhD
8310,Graduation
10710,Graduation
5031,Graduation
2613,Master
213,PhD
967,Graduation
1077,Graduation
7959,Graduation
640,Graduation
4252,Graduation
8432,Graduation
6218,Graduation
6905,Graduation
5922,PhD
3598,Graduation
6116,2n Cycle
6263,Graduation
10486,Graduation
2410,Graduation
193,Basic
3363,2n Cycle
8278,PhD
10660,Master
8686,Basic
1604,Master
5907,Master
10669,Graduation
2918,Graduation
5735,Master
359,Graduation
8387,Graduation
1829,PhD
3839,Basic
9392,Graduation
2292,Graduation
10466,Graduation
9855,PhD
4088,PhD
5231,2n Cycle
590,Master
8732,Master
2315,Graduation
3515,Graduation
2245,Master
6283,Master
2246,2n Cycle
6606,Master
5545,PhD
7342,2n Cycle
837,Graduation
9500,Graduation
3602,Master
234,Graduation
2995,Master
1118,Master
7789,PhD
3068,Graduation
8955,PhD
945,Graduation
5644,Graduation
7192,Graduation
2324,Graduation
697,Graduation
3439,Graduation
1506,Graduation
232,Graduation
8876,PhD
4500,PhD
9739,Graduation
10395,Basic
1176,Graduation
1627,2n Cycle
938,Graduation
2740,PhD
257,PhD
4058,PhD
7736,Graduation
8210,Master
833,Master
6230,Graduation
7325,PhD
1307,Graduation
1502,Graduation
6211,PhD
843,Graduation
4174,Master
9757,Graduation
6918,Graduation
286,Graduation
11086,Basic
1921,PhD
4138,Graduation
7718,Master
1291,PhD
6862,Graduation
4136,Basic
803,Graduation
4298,PhD
10833,Graduation
9606,PhD
8534,Graduation
5153,PhD
961,Graduation
5011,Graduation
6653,PhD
9094,2n Cycle
810,Graduation
5493,Graduation
2147,Graduation
5107,PhD
3979,PhD
6049,Master
8147,Graduation
1857,Graduation
3910,Graduation
5207,PhD
11114,Graduation
5429,PhD
9400,2n Cycle
1740,Graduation
7488,Master
195,Graduation
635,Master
7527,Master
10319,Graduation
2296,Master
10637,Graduation
2931,Graduation
907,Graduation
3698,Graduation
9516,2n Cycle
679,PhD
7384,Master
5043,Basic
5267,Graduation
339,PhD
2516,2n Cycle
9010,Master
378,Graduation
4808,Graduation
5068,Graduation
7628,2n Cycle
7128,PhD
2811,PhD
3551,Master
1663,PhD
5543,Graduation
1577,Graduation
10641,Graduation
5336,Master
6024,Graduation
1878,2n Cycle
3099,Graduation
6055,Graduation
5841,Graduation
3972,Graduation
4394,PhD
5758,Graduation
6658,Graduation
4603,PhD
8427,Master
10260,Master
7143,2n Cycle
8789,2n Cycle
6197,PhD
4554,Graduation
4937,2n Cycle
1920,Graduation
8749,Graduation
1650,Master
10377,Master
9206,Graduation
10971,Graduation
6398,Basic
9212,Master
7937,Graduation
839,PhD
4246,Master
158,PhD
4832,Graduation
5621,Graduation
1945,Graduation
5147,Graduation
2535,Master
11039,Graduation
9495,Graduation
9635,Master
2173,Graduation
942,Graduation
9386,Graduation
5510,Master
873,Master
2253,Graduation
5181,Basic
979,Graduation
10390,2n Cycle
4698,PhD
7793,Graduation
1745,PhD
10590,PhD
5080,Graduation
8369,Graduation
5232,Graduation
2407,Graduation
3834,Graduation
7912,Graduation
7712,PhD
1065,Graduation
7275,Master
1343,Graduation
1384,Basic
9967,Graduation
6181,2n Cycle
10507,2n Cycle
2674,Master
2698,Graduation
3231,Graduation
4096,Master
10476,Graduation
5948,Graduation
9140,2n Cycle
10258,Master
5675,PhD
4743,PhD
8805,Graduation
1542,Graduation
6770,Graduation
8773,Master
10420,Master
7514,2n Cycle
793,Graduation
10909,Graduation
8702,2n Cycle
4791,Graduation
2963,Graduation
8216,Master
8140,Graduation
10146,PhD
5289,2n Cycle
2587,PhD
4405,Master
8663,Graduation
2589,Graduation
3421,Master
10490,PhD
4094,Graduation
9958,Graduation
2534,Graduation
4188,Graduation
6613,Master
10827,PhD
5491,Master
8402,Master
8783,Graduation
10010,PhD
618,PhD
9121,Graduation
361,Master
4310,Graduation
2678,Graduation
6376,Graduation
524,Basic
10341,Graduation
5654,Graduation
4098,Graduation
5824,PhD
7000,2n Cycle
2561,Graduation
5229,PhD
4086,Graduation
2428,Graduation
8254,PhD
2836,PhD
8418,2n Cycle
1362,Graduation
7152,Master
10033,2n Cycle
9349,Graduation
274,Graduation
3388,Graduation
922,2n Cycle
8588,Graduation
2518,2n Cycle
574,Graduation
3220,Graduation
5967,Graduation
1183,Master
6856,Graduation
4530,Master
1553,Graduation
4682,Graduation
8204,2n Cycle
5221,Graduation
1232,PhD
1927,2n Cycle
5788,Graduation
6652,Graduation
6246,Graduation
5975,PhD
6875,PhD
4399,Graduation
4042,Graduation
2157,Graduation
10133,Graduation
2525,PhD
8233,Master
9483,Graduation
2945,PhD
10403,Graduation
5074,Master
10524,Master
4690,Graduation
7521,Graduation
7196,PhD
4406,Graduation
9672,2n Cycle
4864,Graduation
4706,Graduation
4070,PhD
25,Graduation
3697,Graduation
217,Master
4220,PhD
5286,Master
9559,PhD
2849,Graduation
7787,Graduation
3102,2n Cycle
5868,Graduation
8370,2n Cycle
9988,Master
2939,Master
5529,PhD
9743,Graduation
5763,Master
3478,PhD
7494,PhD
1763,Graduation
7250,Graduation
2005,Graduation
10770,Graduation
6885,Graduation
2072,PhD
9463,Graduation
6318,Graduation
4093,Master
5751,2n Cycle
3340,Graduation
3594,Master
3584,PhD
3643,Master
851,Master
7706,2n Cycle
3967,PhD
10128,Graduation
486,Graduation
9,Master
9451,Graduation
9264,Graduation
3865,2n Cycle
2853,Graduation
1490,Graduation
6310,Graduation
10380,Master
3887,Graduation
4278,PhD
8643,Graduation
1998,Graduation
10795,PhD
11110,Graduation
2408,Graduation
202,PhD
7998,Graduation
830,PhD
3536,Graduation
6050,2n Cycle
125,2n Cycle
3463,PhD
2804,Master
3745,2n Cycle
9771,2n Cycle
451,Graduation
10530,PhD
1079,PhD
8920,Master
6678,Graduation
3852,Master
528,Graduation
73,PhD
5589,Graduation
10212,Master
6365,2n Cycle
5636,Graduation
591,Graduation
2217,2n Cycle
2544,Master
7725,2n Cycle
8091,Graduation
7321,Graduation
5462,Graduation
7791,Master
955,Master
4037,Graduation
6642,Graduation
2793,PhD
5424,Graduation
879,Master
9530,Graduation
4828,Graduation
10699,Graduation
1497,Graduation
7476,Master
4390,Graduation
10478,PhD
1081,PhD
4261,PhD
9916,Graduation
5350,Master
8135,Master
8685,Graduation
4967,PhD
2130,Graduation
9298,PhD
8175,Graduation
6257,Master
3790,Graduation
9952,Master
3503,Graduation
5223,Master
4608,Graduation
1626,PhD
4764,Master
2471,Graduation
5892,Graduation
2612,Graduation
4971,PhD
5185,Graduation
10069,Basic
2262,Master
1131,PhD
1041,PhD
24,Master
3409,Graduation
7022,Graduation
7943,PhD
5272,Master
5453,Master
2565,Master
800,Graduation
11092,Graduation
5062,PhD
8969,Graduation
4656,2n Cycle
4480,Master
9971,PhD
6729,Graduation
1773,2n Cycle
9242,Graduation
1764,Graduation
6215,Graduation
10099,Graduation
5423,Graduation
940,Graduation
3011,Graduation
3298,Master
8286,PhD
9668,Graduation
5120,2n Cycle
6097,Graduation
7019,Graduation
7408,PhD
8041,PhD
252,PhD
9986,Graduation
3276,2n Cycle
3859,PhD
3570,PhD
3783,PhD
10207,Graduation
10906,PhD
3427,PhD
5209,Graduation
10711,Graduation
10785,Graduation
2814,Master
6866,Master
1665,PhD
6575,Graduation
3829,Basic
3091,2n Cycle
10141,Master
5177,Master
7005,Graduation
6409,Graduation
7485,PhD
8079,Graduation
8395,Graduation
10352,Graduation
4931,Graduation
13,PhD
1834,Master
2285,Master
2295,PhD
1378,2n Cycle
2781,Graduation
1165,PhD
1404,Graduation
6457,Graduation
2639,Graduation
8299,PhD
6437,2n Cycle
6912,PhD
7327,PhD
5299,PhD
4127,PhD
8143,PhD
1964,Graduation
3690,Master
3433,2n Cycle
3389,Graduation
4712,2n Cycle
1170,Graduation
6347,Basic
4065,PhD
8230,Graduation
1215,Graduation
5939,Graduation
2156,PhD
7788,PhD
10323,Graduation
7947,Graduation
1891,Master
2570,Graduation
9256,Graduation
295,Graduation
7397,Graduation
6349,Master
10790,PhD
10398,2n Cycle
2431,Graduation
550,Graduation
1890,2n Cycle
10742,PhD
10356,PhD
4676,Master
8852,Graduation
3565,Master
5294,Graduation
1958,PhD
7349,Basic
8799,PhD
1351,Master
1045,Graduation
7732,Graduation
8070,PhD
477,Graduation
7832,Master
2202,Graduation
7396,Graduation
4055,Basic
10340,Graduation
10091,Graduation
7629,Graduation
10640,Graduation
3498,PhD
6742,Graduation
1172,PhD
569,Graduation
4686,PhD
1381,PhD
2634,Master
10905,Graduation
1744,Basic
1000,Master
3828,Graduation
8605,PhD
10304,Graduation
4351,Graduation
10129,Graduation
2499,2n Cycle
10092,Graduation
7500,Graduation
5796,Graduation
10556,Graduation
1064,PhD
48,Graduation
7610,Graduation
263,PhD
10814,Graduation
9710,PhD
9292,Graduation
10250,Basic
7881,Master
5847,Graduation
737,PhD
3571,PhD
7807,Graduation
3878,2n Cycle
5092,PhD
2154,Graduation
5394,Basic
3798,Graduation
3524,Master
5247,PhD
5883,Graduation
2118,2n Cycle
8812,2n Cycle
6616,Graduation
2797,Graduation
4328,2n Cycle
9167,Graduation
10560,PhD
2631,Graduation
8312,Basic
5534,Master
5093,PhD
7592,PhD
8895,Graduation
8584,PhD
2694,Graduation
8910,Graduation
7433,Graduation
164,PhD
10477,PhD
2681,2n Cycle
5150,Basic
5283,PhD
9645,Graduation
10678,Graduation
7261,Graduation
9648,Graduation
2870,Graduation
8008,Graduation
1513,2n Cycle
6173,Graduation
1419,Graduation
9150,PhD
7960,2n Cycle
1250,Graduation
9905,Graduation
10691,Master
7002,Graduation
2952,Master
8439,Graduation
762,2n Cycle
2831,Graduation
6977,Graduation
6289,Master
4168,Graduation
8397,Graduation
9284,Graduation
6237,PhD
3130,Graduation
1619,Graduation
1990,PhD
5513,Graduation
269,PhD
8093,Master
10513,Graduation
10177,Graduation
2549,PhD
5782,2n Cycle
10057,Graduation
10307,Graduation
8566,PhD
2415,Graduation
5684,Master
8334,Master
9166,Graduation
1440,2n Cycle
78,Graduation
5441,PhD
5302,Graduation
4687,Master
1087,Master
6859,Graduation
9860,Graduation
7129,PhD
5866,Graduation
10521,Graduation
7393,Graduation
7849,PhD
332,Graduation
9847,2n Cycle
531,PhD
9576,PhD
6906,Master
7419,Master
3170,Master
8527,Master
7872,PhD
9931,PhD
10595,Graduation
4609,PhD
5010,Graduation
4427,2n Cycle
11148,Graduation
1168,PhD
9595,Graduation
10163,PhD
2886,Master
6710,Master
5316,Master
9029,PhD
521,Graduation
1459,PhD
10241,2n Cycle
1630,Graduation
3254,Graduation
9064,Graduation
3678,Graduation
4227,Master
9467,Graduation
8486,Master
2186,2n Cycle
3286,PhD
8602,Graduation
3722,Graduation
6715,PhD
4796,Graduation
9612,2n Cycle
