account_id,marital-status
5954,Alone
1137,Alone
2541,In couple
1142,In couple
2276,Alone
2807,In couple
6471,Alone
6131,In couple
6233,In couple
4148,In couple
4947,Alone
3225,In couple
7540,In couple
10648,In couple
1992,In couple
7851,Alone
8594,Alone
7059,In couple
2815,In couple
2416,Alone
7999,In couple
9213,Alone
9697,In couple
3916,In couple
2021,In couple
1581,In couple
564,In couple
6619,In couple
9081,Alone
178,In couple
916,Alone
5512,In couple
8970,In couple
10581,In couple
5300,In couple
5154,Alone
8346,Alone
1676,In couple
9286,In couple
2426,Alone
5172,In couple
5562,In couple
3436,In couple
3921,Alone
3403,In couple
22,Alone
10965,In couple
9426,Alone
6605,Alone
3136,Alone
8737,Alone
11088,In couple
716,In couple
466,In couple
9135,In couple
10623,In couple
8151,In couple
5140,In couple
10160,In couple
4945,Alone
10584,In couple
6071,Alone
3386,In couple
8939,Alone
9925,In couple
4320,Alone
5389,In couple
6036,In couple
182,In couple
203,Alone
11025,In couple
10203,Alone
4607,In couple
3711,In couple
3696,Alone
2532,Alone
9214,In couple
4943,In couple
35,In couple
2258,In couple
4322,In couple
713,In couple
4702,Alone
3281,In couple
702,Alone
2004,Alone
4769,In couple
4437,In couple
8724,Alone
10741,In couple
1991,In couple
6931,Alone
11096,In couple
304,Alone
3665,In couple
10591,Alone
5036,Alone
5547,In couple
7822,In couple
8541,In couple
10955,Alone
4368,In couple
9671,In couple
2256,In couple
4279,Alone
5371,Alone
9240,Alone
9460,In couple
9504,In couple
8692,In couple
448,Alone
8314,In couple
8420,In couple
3174,In couple
7685,In couple
3179,Alone
9780,In couple
10681,In couple
10232,Alone
4184,In couple
9120,Alone
891,In couple
10381,Alone
3525,In couple
6818,In couple
3526,In couple
8181,Alone
1029,In couple
7369,In couple
2574,In couple
8159,In couple
1160,In couple
10242,In couple
5253,In couple
5966,In couple
5314,In couple
5081,In couple
5123,In couple
5756,In couple
8036,In couple
9058,Alone
5057,In couple
254,In couple
4179,In couple
3710,Alone
7627,In couple
4501,Alone
6424,In couple
3075,In couple
4992,In couple
5252,Alone
7444,In couple
6919,In couple
3537,In couple
10277,Alone
2453,In couple
7972,Alone
895,In couple
1177,In couple
7141,Alone
7232,Alone
8477,Alone
2457,In couple
988,In couple
7930,Alone
4587,Alone
6682,In couple
6222,In couple
10299,Alone
3083,In couple
8953,Alone
1503,In couple
8650,Alone
10862,In couple
2782,In couple
6941,Alone
10972,Alone
10708,Alone
6583,In couple
3641,In couple
10156,Alone
4299,In couple
3469,Alone
5063,Alone
10727,In couple
9624,In couple
5156,In couple
4376,Alone
8923,Alone
8461,Alone
6945,Alone
944,In couple
1907,Alone
701,In couple
3856,In couple
4149,In couple
2131,Alone
2942,Alone
1173,In couple
4381,In couple
4611,In couple
3376,Alone
4679,In couple
10928,In couple
4248,Alone
6728,In couple
6661,In couple
4725,In couple
3277,Alone
5555,Alone
2564,In couple
946,In couple
3867,In couple
6940,Alone
55,In couple
7093,In couple
5084,Alone
1777,In couple
8162,In couple
10826,In couple
8754,In couple
1987,Alone
11007,In couple
7426,In couple
9153,In couple
10379,Alone
9204,Alone
3197,In couple
2920,Alone
6961,In couple
4673,In couple
9937,Alone
8779,In couple
9596,Alone
2891,Alone
4910,Alone
75,In couple
10120,In couple
6327,In couple
10142,Alone
9826,Alone
1501,In couple
10767,In couple
7279,In couple
7230,Alone
143,Alone
450,In couple
9316,In couple
6379,Alone
9239,In couple
8315,Alone
2868,Alone
10888,Alone
1277,In couple
9977,Alone
10196,In couple
6384,Alone
8029,Alone
968,Alone
6988,In couple
4472,Alone
6991,Alone
3336,In couple
4301,In couple
1940,In couple
1272,Alone
1388,Alone
1044,In couple
6969,In couple
10479,In couple
3619,Alone
1715,In couple
10159,Alone
1463,Alone
5114,In couple
4990,In couple
4329,In couple
10936,In couple
4692,In couple
7212,In couple
6086,In couple
437,Alone
11171,In couple
11101,In couple
5329,Alone
610,In couple
9384,In couple
5956,Alone
10430,Alone
7875,In couple
7072,In couple
6255,In couple
6516,In couple
5564,In couple
5682,Alone
7458,In couple
5237,Alone
7761,In couple
5278,In couple
3560,In couple
7235,In couple
10548,Alone
2281,Alone
4073,In couple
6974,In couple
7938,In couple
7094,Alone
3667,In couple
7723,In couple
3870,In couple
4012,In couple
5909,In couple
10470,In couple
6488,In couple
10270,In couple
6887,Alone
6406,In couple
7573,Alone
4508,Alone
221,In couple
5331,In couple
1911,In couple
20,In couple
8786,In couple
10582,In couple
1915,In couple
8897,Alone
2371,In couple
4303,In couple
6825,In couple
1072,Alone
4964,In couple
2461,Alone
10736,Alone
3194,Alone
10839,In couple
49,Alone
4290,In couple
10219,In couple
4211,In couple
1135,In couple
6299,Alone
10846,In couple
347,Alone
6543,In couple
10446,In couple
3479,Alone
11075,In couple
4442,Alone
199,Alone
6722,In couple
796,Alone
3749,In couple
8523,In couple
310,In couple
8629,Alone
236,In couple
9930,Alone
3483,In couple
4599,In couple
7326,In couple
7352,In couple
2350,In couple
9145,Alone
2964,In couple
5585,Alone
9687,Alone
3732,In couple
6303,In couple
11176,In couple
2986,In couple
7462,Alone
3900,In couple
7034,In couple
9493,Alone
1143,In couple
1,Alone
3855,In couple
5536,In couple
5989,Alone
9499,In couple
6768,Alone
2150,Alone
6646,In couple
4887,Alone
8560,Alone
3321,In couple
11003,In couple
10402,In couple
9904,In couple
6141,Alone
5687,Alone
10856,Alone
5121,Alone
4186,In couple
368,In couple
3312,Alone
11121,In couple
5332,In couple
5848,In couple
10343,Alone
5935,Alone
2895,Alone
10262,In couple
7848,Alone
9477,In couple
4856,In couple
7186,In couple
5794,In couple
1456,Alone
4877,In couple
425,In couple
3007,In couple
1031,In couple
4297,In couple
807,In couple
9553,In couple
4271,In couple
4120,Alone
2036,In couple
115,Alone
4259,Alone
8687,In couple
2447,In couple
10140,In couple
9353,Alone
3623,In couple
738,Alone
7631,In couple
4789,In couple
773,Alone
10602,In couple
1446,Alone
3270,In couple
8443,Alone
9653,In couple
8916,Alone
8017,In couple
5830,Alone
4597,In couple
7023,Alone
8086,In couple
8825,In couple
2930,Alone
1928,In couple
7108,Alone
10925,In couple
9960,Alone
8800,Alone
9224,Alone
5519,In couple
5046,Alone
7037,In couple
905,Alone
8624,In couple
8945,Alone
6445,In couple
2727,In couple
6404,In couple
11074,Alone
10150,Alone
1968,Alone
6534,In couple
9485,In couple
7053,Alone
4654,In couple
9760,Alone
1048,In couple
10619,Alone
9308,In couple
10505,In couple
8362,In couple
2625,Alone
4637,Alone
9972,In couple
4483,Alone
4487,Alone
4988,In couple
8931,In couple
5871,In couple
2008,In couple
3139,Alone
10037,Alone
10673,In couple
5303,In couple
538,Alone
7922,Alone
5692,In couple
4843,Alone
6383,In couple
1628,In couple
1204,In couple
3673,Alone
760,Alone
8957,Alone
4128,In couple
6810,Alone
5386,In couple
8700,Alone
3202,In couple
1328,In couple
8405,Alone
6515,In couple
2882,Alone
7574,In couple
6387,In couple
5320,Alone
5048,Alone
8146,In couple
10031,In couple
5748,In couple
2134,Alone
1523,In couple
9665,Alone
4640,Alone
3635,Alone
3547,In couple
2456,In couple
5633,In couple
7801,In couple
10489,In couple
7011,In couple
2620,In couple
3933,In couple
10981,In couple
1734,In couple
10995,In couple
6357,Alone
9209,In couple
10286,In couple
2611,In couple
1600,In couple
3308,In couple
5407,In couple
2166,Alone
3955,Alone
6634,Alone
3056,Alone
5718,In couple
6872,In couple
8164,In couple
4580,In couple
9305,Alone
453,Alone
8545,Alone
9850,In couple
7378,In couple
7646,Alone
1640,Alone
5184,Alone
8492,In couple
11188,In couple
1212,In couple
9097,Alone
10473,Alone
7962,Alone
9984,In couple
5527,In couple
6374,In couple
7453,Alone
8952,In couple
241,In couple
8975,In couple
6119,Alone
5236,In couple
5723,In couple
1710,Alone
1970,In couple
5313,In couple
10634,In couple
7010,In couple
8562,In couple
3158,In couple
4436,Alone
5287,In couple
2445,In couple
6059,In couple
4550,In couple
4240,In couple
8911,In couple
3706,Alone
3628,Alone
10175,Alone
8985,In couple
5204,In couple
9220,Alone
9888,In couple
5263,In couple
1020,In couple
9503,Alone
10613,In couple
67,Alone
6019,In couple
5863,In couple
3717,In couple
6730,In couple
10749,Alone
4998,In couple
6287,In couple
5985,Alone
4754,In couple
4002,In couple
8870,In couple
966,In couple
4767,In couple
9725,In couple
4475,In couple
5740,Alone
5731,In couple
7290,Alone
3846,In couple
8104,In couple
4507,Alone
11013,In couple
4491,In couple
3759,In couple
1162,Alone
2055,Alone
10766,In couple
4415,In couple
3005,Alone
2223,Alone
4817,Alone
2875,In couple
10536,In couple
11112,In couple
3807,In couple
9197,In couple
10832,In couple
6421,In couple
4207,In couple
577,In couple
10855,Alone
3081,In couple
3535,Alone
247,In couple
8707,In couple
9523,In couple
6072,Alone
6295,In couple
10914,Alone
1509,In couple
5577,In couple
7348,Alone
1127,In couple
1833,Alone
4944,In couple
9080,Alone
6466,In couple
9964,Alone
4790,Alone
10245,Alone
1109,In couple
6001,In couple
5538,Alone
10552,In couple
1545,In couple
7409,In couple
4444,In couple
146,Alone
6271,In couple
10065,In couple
4741,In couple
246,In couple
375,Alone
1524,Alone
10022,Alone
7451,Alone
11010,Alone
4356,In couple
3885,In couple
1175,In couple
880,In couple
2320,In couple
850,Alone
4713,In couple
675,Alone
5025,Alone
2308,In couple
5995,Alone
6749,Alone
1010,In couple
8977,Alone
4756,Alone
3412,In couple
606,Alone
5961,In couple
2975,In couple
2894,Alone
7613,In couple
10542,In couple
8015,Alone
10617,Alone
11166,In couple
849,In couple
523,In couple
4066,Alone
8414,Alone
819,Alone
4961,In couple
749,In couple
5430,In couple
7755,In couple
10525,Alone
1453,Alone
8310,In couple
10710,In couple
5031,In couple
2613,In couple
213,Alone
967,In couple
1077,In couple
7959,In couple
640,In couple
4252,In couple
8432,In couple
6218,In couple
6905,In couple
5922,In couple
3598,In couple
6116,In couple
6263,In couple
10486,In couple
2410,Alone
193,In couple
3363,In couple
8278,In couple
10660,In couple
8686,In couple
1604,In couple
5907,In couple
10669,In couple
2918,Alone
5735,Alone
359,In couple
8387,In couple
1829,Alone
3839,Alone
9392,Alone
2292,Alone
10466,In couple
9855,Alone
4088,In couple
5231,In couple
590,Alone
8732,Alone
2315,Alone
3515,Alone
2245,In couple
6283,Alone
2246,In couple
6606,In couple
5545,In couple
7342,Alone
837,In couple
9500,In couple
3602,In couple
234,Alone
2995,In couple
1118,In couple
7789,In couple
3068,In couple
8955,In couple
945,In couple
5644,In couple
7192,In couple
2324,In couple
697,In couple
3439,In couple
1506,Alone
232,Alone
8876,In couple
4500,In couple
9739,Alone
10395,Alone
1176,In couple
1627,Alone
938,In couple
2740,Alone
257,In couple
4058,Alone
7736,In couple
8210,In couple
833,In couple
6230,Alone
7325,In couple
1307,Alone
1502,In couple
6211,In couple
843,In couple
4174,In couple
9757,In couple
6918,In couple
286,Alone
11086,Alone
1921,In couple
4138,Alone
7718,In couple
1291,In couple
6862,Alone
4136,Alone
803,In couple
4298,In couple
10833,In couple
9606,In couple
8534,In couple
5153,In couple
961,In couple
5011,Alone
6653,In couple
9094,In couple
810,In couple
5493,In couple
2147,In couple
5107,Alone
3979,Alone
6049,In couple
8147,In couple
1857,Alone
3910,Alone
5207,In couple
11114,In couple
5429,In couple
9400,Alone
1740,In couple
7488,Alone
195,Alone
635,In couple
7527,Alone
10319,In couple
2296,In couple
10637,In couple
2931,Alone
907,In couple
3698,In couple
9516,Alone
679,In couple
7384,In couple
5043,In couple
5267,Alone
339,In couple
2516,In couple
9010,In couple
378,In couple
4808,In couple
5068,Alone
7628,In couple
7128,Alone
2811,Alone
3551,In couple
1663,In couple
5543,In couple
1577,In couple
10641,Alone
5336,In couple
6024,In couple
1878,In couple
3099,Alone
6055,In couple
5841,In couple
3972,In couple
4394,In couple
5758,In couple
6658,In couple
4603,In couple
8427,Alone
10260,In couple
7143,In couple
8789,In couple
6197,Alone
4554,In couple
4937,In couple
1920,In couple
8749,In couple
1650,In couple
10377,In couple
9206,In couple
10971,Alone
6398,In couple
9212,In couple
7937,In couple
839,In couple
4246,Alone
158,In couple
4832,In couple
5621,In couple
1945,In couple
5147,Alone
2535,In couple
11039,In couple
9495,In couple
9635,In couple
2173,Alone
942,Alone
9386,In couple
5510,In couple
873,In couple
2253,In couple
5181,Alone
979,Alone
10390,In couple
4698,In couple
7793,In couple
1745,Alone
10590,In couple
5080,Alone
8369,In couple
5232,In couple
2407,In couple
3834,Alone
7912,In couple
7712,Alone
1065,Alone
7275,Alone
1343,In couple
1384,In couple
9967,Alone
6181,In couple
10507,Alone
2674,Alone
2698,Alone
3231,In couple
4096,Alone
10476,In couple
5948,Alone
9140,In couple
10258,Alone
5675,Alone
4743,In couple
8805,Alone
1542,Alone
6770,In couple
8773,In couple
10420,Alone
7514,In couple
793,In couple
10909,In couple
8702,In couple
4791,In couple
2963,In couple
8216,In couple
8140,In couple
10146,In couple
5289,Alone
2587,In couple
4405,In couple
8663,Alone
2589,Alone
3421,Alone
10490,In couple
4094,In couple
9958,In couple
2534,In couple
4188,Alone
6613,In couple
10827,In couple
5491,In couple
8402,In couple
8783,In couple
10010,Alone
618,In couple
9121,In couple
361,In couple
4310,In couple
2678,Alone
6376,Alone
524,In couple
10341,In couple
5654,In couple
4098,In couple
5824,In couple
7000,Alone
2561,Alone
5229,In couple
4086,In couple
2428,In couple
8254,In couple
2836,In couple
8418,Alone
1362,Alone
7152,In couple
10033,Alone
9349,In couple
274,Alone
3388,Alone
922,In couple
8588,In couple
2518,In couple
574,In couple
3220,In couple
5967,In couple
1183,In couple
6856,In couple
4530,Alone
1553,In couple
4682,In couple
8204,In couple
5221,In couple
1232,In couple
1927,In couple
5788,In couple
6652,In couple
6246,Alone
5975,Alone
6875,In couple
4399,In couple
4042,Alone
2157,In couple
10133,Alone
2525,In couple
8233,Alone
9483,In couple
2945,In couple
10403,In couple
5074,In couple
10524,Alone
4690,In couple
7521,In couple
7196,In couple
4406,In couple
9672,In couple
4864,In couple
4706,Alone
4070,In couple
25,In couple
3697,In couple
217,Alone
4220,In couple
5286,Alone
9559,In couple
2849,Alone
7787,In couple
3102,In couple
5868,In couple
8370,In couple
9988,Alone
2939,In couple
5529,In couple
9743,In couple
5763,In couple
3478,In couple
7494,Alone
1763,In couple
7250,In couple
2005,In couple
10770,In couple
6885,Alone
2072,In couple
9463,In couple
6318,In couple
4093,In couple
5751,Alone
3340,In couple
3594,In couple
3584,Alone
3643,In couple
851,In couple
7706,In couple
3967,In couple
10128,In couple
486,In couple
9,Alone
9451,In couple
9264,In couple
3865,In couple
2853,Alone
1490,In couple
6310,In couple
10380,In couple
3887,Alone
4278,Alone
8643,In couple
1998,Alone
10795,In couple
11110,Alone
2408,In couple
202,Alone
7998,In couple
830,Alone
3536,In couple
6050,In couple
125,In couple
3463,In couple
2804,Alone
3745,In couple
9771,Alone
451,Alone
10530,Alone
1079,In couple
8920,Alone
6678,In couple
3852,In couple
528,In couple
73,Alone
5589,Alone
10212,In couple
6365,In couple
5636,Alone
591,Alone
2217,In couple
2544,Alone
7725,In couple
8091,In couple
7321,In couple
5462,In couple
7791,In couple
955,In couple
4037,Alone
6642,Alone
2793,Alone
5424,In couple
879,In couple
9530,In couple
4828,Alone
10699,In couple
1497,Alone
7476,Alone
4390,In couple
10478,In couple
1081,In couple
4261,Alone
9916,In couple
5350,Alone
8135,In couple
8685,In couple
4967,In couple
2130,In couple
9298,In couple
8175,In couple
6257,Alone
3790,In couple
9952,In couple
3503,Alone
5223,In couple
4608,Alone
1626,Alone
4764,In couple
2471,In couple
5892,In couple
2612,In couple
4971,In couple
5185,In couple
10069,In couple
2262,In couple
1131,Alone
1041,Alone
24,In couple
3409,Alone
7022,In couple
7943,In couple
5272,In couple
5453,In couple
2565,Alone
800,In couple
11092,In couple
5062,In couple
8969,In couple
4656,Alone
4480,In couple
9971,In couple
6729,Alone
1773,In couple
9242,Alone
1764,Alone
6215,In couple
10099,In couple
5423,In couple
940,Alone
3011,In couple
3298,In couple
8286,In couple
9668,In couple
5120,In couple
6097,Alone
7019,In couple
7408,In couple
8041,Alone
252,Alone
9986,In couple
3276,In couple
3859,In couple
3570,In couple
3783,In couple
10207,In couple
10906,In couple
3427,In couple
5209,Alone
10711,In couple
10785,In couple
2814,In couple
6866,In couple
1665,Alone
6575,In couple
3829,In couple
3091,In couple
10141,Alone
5177,In couple
7005,Alone
6409,Alone
7485,Alone
8079,In couple
8395,Alone
10352,Alone
4931,In couple
13,Alone
1834,Alone
2285,In couple
2295,In couple
1378,In couple
2781,Alone
1165,Alone
1404,In couple
6457,Alone
2639,Alone
8299,Alone
6437,Alone
6912,In couple
7327,In couple
5299,In couple
4127,In couple
8143,Alone
1964,In couple
3690,In couple
3433,In couple
3389,In couple
4712,In couple
1170,In couple
6347,Alone
4065,In couple
8230,In couple
1215,In couple
5939,In couple
2156,In couple
7788,In couple
10323,In couple
7947,In couple
1891,Alone
2570,In couple
9256,Alone
295,Alone
7397,Alone
6349,Alone
10790,In couple
10398,Alone
2431,In couple
550,Alone
1890,In couple
10742,In couple
10356,Alone
4676,Alone
8852,In couple
3565,In couple
5294,Alone
1958,In couple
7349,In couple
8799,In couple
1351,In couple
1045,In couple
7732,In couple
8070,In couple
477,In couple
7832,In couple
2202,In couple
7396,In couple
4055,Alone
10340,In couple
10091,Alone
7629,In couple
10640,In couple
3498,In couple
6742,In couple
1172,In couple
569,Alone
4686,Alone
1381,Alone
2634,Alone
10905,In couple
1744,Alone
1000,In couple
3828,In couple
8605,In couple
10304,In couple
4351,Alone
10129,In couple
2499,Alone
10092,Alone
7500,Alone
5796,In couple
10556,In couple
1064,In couple
48,In couple
7610,In couple
263,Alone
10814,In couple
9710,Alone
9292,In couple
10250,In couple
7881,In couple
5847,Alone
737,In couple
3571,In couple
7807,In couple
3878,Alone
5092,Alone
2154,Alone
5394,Alone
3798,In couple
3524,Alone
5247,In couple
5883,In couple
2118,In couple
8812,Alone
6616,In couple
2797,In couple
4328,In couple
9167,In couple
10560,Alone
2631,In couple
8312,In couple
5534,In couple
5093,Alone
7592,In couple
8895,Alone
8584,In couple
2694,In couple
8910,In couple
7433,Alone
164,In couple
10477,In couple
2681,In couple
5150,Alone
5283,Alone
9645,In couple
10678,In couple
7261,In couple
9648,Alone
2870,In couple
8008,In couple
1513,In couple
6173,In couple
1419,In couple
9150,Alone
7960,In couple
1250,Alone
9905,In couple
10691,In couple
7002,Alone
2952,Alone
8439,In couple
762,In couple
2831,In couple
6977,In couple
6289,In couple
4168,Alone
8397,In couple
9284,In couple
6237,Alone
3130,Alone
1619,In couple
1990,Alone
5513,In couple
269,Alone
8093,In couple
10513,In couple
10177,Alone
2549,In couple
5782,In couple
10057,Alone
10307,In couple
8566,In couple
2415,In couple
5684,Alone
8334,Alone
9166,In couple
1440,In couple
78,In couple
5441,Alone
5302,In couple
4687,In couple
1087,In couple
6859,Alone
9860,In couple
7129,In couple
5866,In couple
10521,In couple
7393,In couple
7849,In couple
332,In couple
9847,In couple
531,Alone
9576,In couple
6906,Alone
7419,Alone
3170,In couple
8527,In couple
7872,In couple
9931,In couple
10595,In couple
4609,In couple
5010,Alone
4427,Alone
11148,In couple
1168,In couple
9595,In couple
10163,Alone
2886,Alone
6710,Alone
5316,In couple
9029,In couple
521,In couple
1459,In couple
10241,Alone
1630,Alone
3254,In couple
9064,In couple
3678,Alone
4227,In couple
9467,Alone
8486,In couple
2186,In couple
3286,Alone
8602,Alone
3722,Alone
6715,Alone
4796,Alone
9612,Alone
3766,Alone
1399,In couple
1570,In couple
3426,Alone
3074,In couple
8341,In couple
5180,Alone
6461,Alone
7679,Alone
10702,Alone
7505,In couple
5113,Alone
10858,In couple
2961,In couple
2747,In couple
3010,In couple
5790,In couple
6892,Alone
1743,Alone
3578,Alone
8462,In couple
5558,Alone
4619,Alone
8780,In couple
10789,In couple
10779,Alone
5896,In couple
2337,Alone
10951,In couple
544,In couple
17,In couple
10680,In couple
3265,In couple
5623,In couple
5832,In couple
5544,Alone
6417,In couple
5831,In couple
7101,Alone
10176,Alone
2326,In couple
4385,Alone
2929,Alone
10686,In couple
2546,Alone
3283,In couple
3138,Alone
4994,Alone
7966,Alone
3112,In couple
10872,In couple
2181,In couple
1867,Alone
1518,In couple
5734,In couple
2878,In couple
1458,In couple
7007,In couple
6200,In couple
1403,In couple
4827,Alone
6250,Alone
9291,In couple
2478,In couple
1139,In couple
5138,In couple
5393,Alone
10413,In couple
5015,In couple
10868,Alone
10676,In couple
2495,In couple
7842,Alone
9955,In couple
6663,Alone
2162,In couple
3434,Alone
7919,In couple
5626,Alone
6428,Alone
8514,In couple
10448,Alone
2109,Alone
7530,Alone
8925,In couple
3009,Alone
6355,In couple
3517,Alone
1158,Alone
6203,In couple
7165,In couple
3595,In couple
8537,Alone
4331,In couple
6281,Alone
4338,Alone
2452,In couple
9507,In couple
8360,In couple
10311,In couple
5117,In couple
4867,Alone
9289,In couple
10913,Alone
3032,In couple
8524,Alone
3334,In couple
4470,In couple
1406,Alone
8619,In couple
10821,In couple
4552,In couple
898,In couple
9797,In couple
10949,Alone
8212,In couple
6248,Alone
10164,Alone
4547,In couple
6815,In couple
4122,In couple
10841,In couple
5370,In couple
176,Alone
4860,Alone
10757,Alone
4023,In couple
6679,Alone
9923,Alone
7181,In couple
3599,In couple
405,Alone
6870,Alone
832,In couple
2002,Alone
3657,Alone
500,In couple
1951,In couple
3262,Alone
4102,In couple
7042,In couple
10598,In couple
255,Alone
2375,In couple
9829,In couple
6214,In couple
4954,In couple
7861,In couple
4837,In couple
9423,In couple
4198,In couple
153,Alone
9323,In couple
10001,In couple
3945,Alone
3799,In couple
8625,In couple
3491,In couple
983,In couple
9119,In couple
4786,In couple
5872,Alone
6568,In couple
5628,In couple
