account_id,gold-segment
11071,Gold - Biggest consumer
3381,Gold - Low consumer
11051,Gold - Frequent consumer
8026,Gold - Biggest consumer
433,Gold - Frequent consumer
9597,Gold - Biggest consumer
5290,Gold - Frequent consumer
1685,Non consumer
5342,Gold - Low consumer
9579,Gold - Frequent consumer
7660,Gold - Frequent consumer
1461,Gold - Low consumer
821,Gold - Frequent consumer
11084,Gold - Frequent consumer
8690,Gold - Biggest consumer
2937,Gold - Frequent consumer
9701,Gold - Biggest consumer
9949,Gold - Frequent consumer
10837,Gold - Frequent consumer
3120,Gold - Low consumer
5885,Gold - Frequent consumer
4050,Gold - Low consumer
3830,Gold - Frequent consumer
7987,Gold - Frequent consumer
7798,Gold - Biggest consumer
92,Gold - Frequent consumer
7055,Gold - Biggest consumer
10240,Gold - Frequent consumer
3025,Gold - Low consumer
9283,Non consumer
9970,Gold - Frequent consumer
2730,Gold - Frequent consumer
2795,Gold - Low consumer
9260,Gold - Frequent consumer
8182,Gold - Low consumer
10095,Gold - Frequent consumer
8475,Gold - Low consumer
4370,Gold - Frequent consumer
10573,Gold - Frequent consumer
3712,Gold - Low consumer
6637,Gold - Biggest consumer
3152,Gold - Frequent consumer
5610,Gold - Low consumer
6460,Gold - Frequent consumer
1349,Gold - Frequent consumer
1880,Gold - Low consumer
641,Gold - Frequent consumer
8717,Gold - Frequent consumer
10314,Gold - Biggest consumer
10854,Gold - Low consumer
10492,Gold - Low consumer
6935,Gold - Biggest consumer
7698,Gold - Low consumer
3559,Gold - Low consumer
10562,Gold - Biggest consumer
10796,Gold - Frequent consumer
2563,Gold - Low consumer
3518,Gold - Low consumer
5823,Gold - Low consumer
3934,Gold - Biggest consumer
6982,Gold - Frequent consumer
6431,Gold - Low consumer
9733,Gold - Frequent consumer
5602,Gold - Biggest consumer
7829,Gold - Frequent consumer
1324,Gold - Frequent consumer
326,Gold - Frequent consumer
7224,Gold - Low consumer
6999,Gold - Low consumer
9938,Gold - Frequent consumer
6422,Gold - Biggest consumer
3182,Gold - Biggest consumer
7300,Gold - Frequent consumer
10424,Gold - Biggest consumer
8727,Gold - Frequent consumer
2798,Gold - Biggest consumer
1030,Gold - Low consumer
624,Gold - Frequent consumer
5176,Gold - Frequent consumer
5552,Gold - Frequent consumer
868,Gold - Low consumer
380,Gold - Biggest consumer
2677,Gold - Low consumer
6521,Gold - Frequent consumer
6927,Gold - Low consumer
2877,Gold - Frequent consumer
0,Gold - Frequent consumer
1584,Gold - Biggest consumer
7264,Gold - Low consumer
6274,Gold - Frequent consumer
1377,Gold - Biggest consumer
454,Gold - Frequent consumer
1755,Gold - Frequent consumer
2075,Gold - Low consumer
4785,Gold - Frequent consumer
9076,Gold - Low consumer
7079,Gold - Biggest consumer
4653,Gold - Frequent consumer
7375,Gold - Biggest consumer
709,Gold - Biggest consumer
460,Gold - Frequent consumer
3726,Non consumer
6798,Gold - Frequent consumer
5341,Gold - Frequent consumer
1606,Gold - Low consumer
9617,Gold - Low consumer
3233,Gold - Frequent consumer
89,Gold - Frequent consumer
2936,Gold - Low consumer
9449,Gold - Frequent consumer
7297,Gold - Frequent consumer
11004,Gold - Low consumer
313,Gold - Frequent consumer
9940,Gold - Frequent consumer
10735,Gold - Low consumer
9529,Gold - Biggest consumer
6439,Gold - Biggest consumer
7411,Gold - Low consumer
2176,Gold - Biggest consumer
9265,Gold - Biggest consumer
8867,Gold - Biggest consumer
8932,Gold - Biggest consumer
10236,Gold - Frequent consumer
6340,Gold - Frequent consumer
10089,Gold - Biggest consumer
2227,Gold - Frequent consumer
10992,Gold - Frequent consumer
5304,Gold - Low consumer
309,Gold - Frequent consumer
3406,Gold - Frequent consumer
2661,Gold - Low consumer
3153,Gold - Low consumer
10264,Gold - Frequent consumer
1184,Gold - Frequent consumer
4200,Gold - Low consumer
9396,Gold - Low consumer
2387,Gold - Frequent consumer
6690,Gold - Frequent consumer
1225,Gold - Biggest consumer
9703,Gold - Biggest consumer
291,Gold - Biggest consumer
4557,Gold - Frequent consumer
2379,Gold - Biggest consumer
5726,Gold - Low consumer
3066,Gold - Frequent consumer
6336,Gold - Low consumer
10967,Gold - Low consumer
2304,Gold - Low consumer
3445,Gold - Biggest consumer
7828,Gold - Frequent consumer
3762,Gold - Frequent consumer
4391,Gold - Biggest consumer
4669,Gold - Frequent consumer
10144,Gold - Biggest consumer
8652,Gold - Frequent consumer
1672,Gold - Biggest consumer
8962,Gold - Low consumer
9974,Gold - Frequent consumer
10983,Gold - Biggest consumer
8148,Gold - Biggest consumer
10102,Gold - Frequent consumer
4697,Gold - Frequent consumer
9262,Gold - Frequent consumer
7254,Gold - Frequent consumer
4543,Gold - Biggest consumer
4927,Gold - Frequent consumer
10451,Gold - Low consumer
2926,Gold - Frequent consumer
2874,Gold - Low consumer
9738,Gold - Frequent consumer
7119,Gold - Frequent consumer
3924,Gold - Frequent consumer
5827,Gold - Low consumer
5596,Gold - Frequent consumer
10812,Non consumer
1717,Gold - Frequent consumer
9491,Gold - Frequent consumer
9274,Gold - Biggest consumer
6609,Gold - Frequent consumer
6963,Gold - Frequent consumer
4440,Gold - Low consumer
1379,Gold - Frequent consumer
10032,Gold - Frequent consumer
2826,Gold - Low consumer
6320,Gold - Frequent consumer
3050,Gold - Frequent consumer
231,Gold - Low consumer
2392,Gold - Frequent consumer
9478,Gold - Frequent consumer
113,Gold - Low consumer
1802,Gold - Biggest consumer
520,Gold - Low consumer
8275,Gold - Low consumer
9750,Gold - Biggest consumer
2607,Gold - Frequent consumer
7214,Gold - Biggest consumer
5835,Gold - Low consumer
3896,Gold - Low consumer
10350,Non consumer
7786,Gold - Frequent consumer
2861,Gold - Low consumer
663,Gold - Low consumer
10675,Gold - Frequent consumer
2521,Gold - Frequent consumer
9592,Gold - Low consumer
10151,Gold - Biggest consumer
7381,Gold - Frequent consumer
4099,Gold - Frequent consumer
9560,Gold - Biggest consumer
1150,Gold - Biggest consumer
10172,Gold - Frequent consumer
11191,Gold - Frequent consumer
9707,Gold - Frequent consumer
6245,Gold - Frequent consumer
8234,Gold - Low consumer
1411,Gold - Biggest consumer
8553,Gold - Low consumer
1826,Gold - Biggest consumer
8842,Gold - Low consumer
11030,Gold - Low consumer
2579,Gold - Low consumer
175,Gold - Biggest consumer
9185,Non consumer
11056,Gold - Frequent consumer
9365,Gold - Frequent consumer
6201,Gold - Low consumer
2061,Gold - Low consumer
6184,Gold - Frequent consumer
6142,Gold - Low consumer
4107,Gold - Frequent consumer
7274,Gold - Biggest consumer
9336,Gold - Frequent consumer
2958,Gold - Low consumer
933,Gold - Low consumer
5837,Gold - Biggest consumer
10704,Gold - Biggest consumer
5125,Gold - Frequent consumer
4432,Gold - Low consumer
5955,Gold - Biggest consumer
2928,Gold - Frequent consumer
5680,Gold - Low consumer
10313,Gold - Frequent consumer
2557,Gold - Frequent consumer
1245,Gold - Biggest consumer
1519,Gold - Low consumer
10703,Gold - Frequent consumer
1726,Gold - Frequent consumer
4459,Gold - Low consumer
1729,Gold - Biggest consumer
1517,Gold - Frequent consumer
2098,Gold - Low consumer
9543,Gold - Low consumer
6878,Gold - Frequent consumer
3310,Gold - Frequent consumer
2724,Gold - Low consumer
948,Gold - Frequent consumer
6720,Gold - Biggest consumer
6202,Gold - Biggest consumer
2066,Gold - Frequent consumer
9799,Gold - Biggest consumer
8318,Gold - Frequent consumer
5642,Gold - Low consumer
2669,Gold - Biggest consumer
455,Gold - Frequent consumer
7683,Gold - Biggest consumer
3428,Gold - Frequent consumer
7414,Gold - Frequent consumer
6354,Gold - Frequent consumer
798,Gold - Low consumer
8213,Gold - Frequent consumer
2488,Gold - Low consumer
9999,Gold - Frequent consumer
7617,Gold - Frequent consumer
615,Gold - Biggest consumer
2552,Gold - Low consumer
194,Gold - Low consumer
3645,Gold - Low consumer
8890,Gold - Low consumer
5049,Gold - Low consumer
9973,Gold - Low consumer
7301,Gold - Frequent consumer
10882,Gold - Frequent consumer
7030,Gold - Frequent consumer
7422,Gold - Low consumer
3523,Gold - Biggest consumer
7106,Gold - Frequent consumer
6504,Gold - Frequent consumer
5067,Gold - Frequent consumer
4216,Gold - Biggest consumer
8581,Gold - Frequent consumer
5929,Gold - Low consumer
3129,Gold - Low consumer
6528,Gold - Low consumer
1361,Gold - Biggest consumer
6932,Gold - Frequent consumer
7284,Gold - Low consumer
1340,Gold - Frequent consumer
8746,Gold - Frequent consumer
5987,Gold - Frequent consumer
3767,Gold - Biggest consumer
3725,Gold - Frequent consumer
4324,Gold - Biggest consumer
238,Gold - Biggest consumer
6694,Gold - Biggest consumer
498,Gold - Low consumer
9347,Gold - Low consumer
9699,Gold - Frequent consumer
10664,Gold - Frequent consumer
5455,Gold - Low consumer
456,Gold - Low consumer
5012,Gold - Low consumer
7495,Gold - Low consumer
5029,Gold - Low consumer
10642,Gold - Low consumer
2106,Gold - Frequent consumer
10364,Gold - Low consumer
5954,Gold - Low consumer
1137,Gold - Frequent consumer
2541,Gold - Low consumer
1142,Gold - Frequent consumer
2276,Gold - Frequent consumer
2807,Gold - Frequent consumer
6471,Gold - Low consumer
6131,Gold - Frequent consumer
6233,Gold - Low consumer
4148,Gold - Frequent consumer
4947,Gold - Biggest consumer
3225,Gold - Frequent consumer
7540,Gold - Low consumer
10648,Gold - Frequent consumer
1992,Gold - Biggest consumer
7851,Gold - Biggest consumer
8594,Gold - Frequent consumer
7059,Gold - Biggest consumer
2815,Gold - Frequent consumer
2416,Non consumer
7999,Gold - Frequent consumer
9213,Gold - Low consumer
9697,Gold - Low consumer
3916,Gold - Biggest consumer
2021,Gold - Biggest consumer
1581,Gold - Low consumer
564,Gold - Low consumer
6619,Gold - Low consumer
9081,Gold - Low consumer
178,Gold - Biggest consumer
916,Gold - Low consumer
5512,Gold - Frequent consumer
8970,Gold - Biggest consumer
10581,Gold - Biggest consumer
5300,Gold - Frequent consumer
5154,Non consumer
8346,Gold - Biggest consumer
1676,Gold - Low consumer
9286,Gold - Frequent consumer
2426,Gold - Frequent consumer
5172,Gold - Frequent consumer
5562,Gold - Biggest consumer
3436,Gold - Low consumer
3921,Gold - Frequent consumer
3403,Gold - Biggest consumer
22,Gold - Frequent consumer
10965,Gold - Frequent consumer
9426,Gold - Biggest consumer
6605,Gold - Frequent consumer
3136,Gold - Frequent consumer
8737,Gold - Low consumer
11088,Gold - Frequent consumer
716,Non consumer
466,Gold - Frequent consumer
9135,Gold - Frequent consumer
10623,Non consumer
8151,Gold - Biggest consumer
5140,Gold - Biggest consumer
10160,Gold - Low consumer
4945,Gold - Biggest consumer
10584,Gold - Frequent consumer
6071,Gold - Biggest consumer
3386,Gold - Frequent consumer
8939,Gold - Biggest consumer
9925,Gold - Frequent consumer
4320,Gold - Biggest consumer
5389,Gold - Low consumer
6036,Gold - Frequent consumer
182,Gold - Frequent consumer
203,Gold - Frequent consumer
11025,Gold - Frequent consumer
10203,Gold - Frequent consumer
4607,Gold - Biggest consumer
3711,Non consumer
3696,Gold - Low consumer
2532,Gold - Biggest consumer
9214,Gold - Biggest consumer
4943,Gold - Biggest consumer
35,Gold - Biggest consumer
2258,Gold - Low consumer
4322,Gold - Frequent consumer
713,Gold - Frequent consumer
4702,Gold - Biggest consumer
3281,Gold - Biggest consumer
702,Gold - Biggest consumer
2004,Gold - Frequent consumer
4769,Gold - Low consumer
4437,Gold - Frequent consumer
8724,Gold - Low consumer
10741,Gold - Frequent consumer
1991,Gold - Low consumer
6931,Gold - Frequent consumer
11096,Gold - Low consumer
304,Gold - Frequent consumer
3665,Gold - Frequent consumer
10591,Gold - Frequent consumer
5036,Gold - Biggest consumer
5547,Non consumer
7822,Gold - Frequent consumer
8541,Gold - Low consumer
10955,Gold - Frequent consumer
4368,Gold - Low consumer
9671,Gold - Frequent consumer
2256,Gold - Low consumer
4279,Gold - Frequent consumer
5371,Gold - Frequent consumer
9240,Gold - Frequent consumer
9460,Gold - Frequent consumer
9504,Gold - Frequent consumer
8692,Gold - Frequent consumer
448,Gold - Biggest consumer
8314,Gold - Biggest consumer
8420,Gold - Frequent consumer
3174,Gold - Frequent consumer
7685,Gold - Frequent consumer
3179,Gold - Frequent consumer
9780,Gold - Frequent consumer
10681,Gold - Biggest consumer
10232,Gold - Frequent consumer
4184,Gold - Frequent consumer
9120,Gold - Frequent consumer
891,Gold - Low consumer
10381,Gold - Low consumer
3525,Gold - Low consumer
6818,Gold - Biggest consumer
3526,Gold - Low consumer
8181,Gold - Frequent consumer
1029,Gold - Frequent consumer
7369,Non consumer
2574,Gold - Frequent consumer
8159,Gold - Frequent consumer
1160,Gold - Low consumer
10242,Gold - Low consumer
5253,Gold - Low consumer
5966,Gold - Low consumer
5314,Gold - Biggest consumer
5081,Gold - Low consumer
5123,Gold - Frequent consumer
5756,Gold - Low consumer
8036,Gold - Low consumer
9058,Gold - Biggest consumer
5057,Gold - Frequent consumer
254,Gold - Frequent consumer
4179,Gold - Frequent consumer
3710,Gold - Frequent consumer
7627,Gold - Frequent consumer
4501,Gold - Biggest consumer
6424,Gold - Frequent consumer
3075,Non consumer
4992,Gold - Frequent consumer
5252,Gold - Frequent consumer
7444,Gold - Low consumer
6919,Gold - Frequent consumer
3537,Gold - Low consumer
10277,Gold - Low consumer
2453,Gold - Biggest consumer
7972,Gold - Frequent consumer
895,Gold - Frequent consumer
1177,Gold - Frequent consumer
7141,Gold - Biggest consumer
7232,Gold - Low consumer
8477,Gold - Low consumer
2457,Gold - Frequent consumer
988,Gold - Frequent consumer
7930,Gold - Frequent consumer
4587,Gold - Low consumer
6682,Gold - Frequent consumer
6222,Gold - Low consumer
10299,Gold - Frequent consumer
3083,Gold - Frequent consumer
8953,Gold - Low consumer
1503,Gold - Low consumer
8650,Gold - Low consumer
10862,Gold - Frequent consumer
2782,Gold - Frequent consumer
6941,Gold - Frequent consumer
10972,Gold - Frequent consumer
10708,Gold - Low consumer
6583,Gold - Biggest consumer
3641,Gold - Low consumer
10156,Gold - Biggest consumer
4299,Gold - Frequent consumer
3469,Gold - Low consumer
5063,Gold - Low consumer
10727,Gold - Frequent consumer
9624,Gold - Frequent consumer
5156,Gold - Biggest consumer
4376,Gold - Frequent consumer
8923,Gold - Biggest consumer
8461,Gold - Low consumer
6945,Gold - Biggest consumer
944,Gold - Frequent consumer
1907,Gold - Biggest consumer
701,Gold - Biggest consumer
3856,Gold - Biggest consumer
4149,Gold - Frequent consumer
2131,Gold - Frequent consumer
2942,Gold - Biggest consumer
1173,Gold - Biggest consumer
4381,Gold - Frequent consumer
4611,Gold - Biggest consumer
3376,Gold - Frequent consumer
4679,Gold - Frequent consumer
10928,Gold - Biggest consumer
4248,Gold - Frequent consumer
6728,Gold - Low consumer
6661,Gold - Frequent consumer
4725,Gold - Low consumer
3277,Gold - Frequent consumer
5555,Gold - Low consumer
2564,Gold - Frequent consumer
946,Gold - Frequent consumer
3867,Gold - Biggest consumer
6940,Gold - Biggest consumer
55,Gold - Low consumer
7093,Gold - Low consumer
5084,Gold - Biggest consumer
1777,Gold - Frequent consumer
8162,Gold - Low consumer
10826,Gold - Frequent consumer
8754,Gold - Low consumer
1987,Gold - Frequent consumer
11007,Gold - Low consumer
7426,Gold - Frequent consumer
9153,Gold - Low consumer
10379,Gold - Biggest consumer
9204,Gold - Biggest consumer
3197,Gold - Biggest consumer
2920,Gold - Frequent consumer
6961,Gold - Low consumer
4673,Gold - Frequent consumer
9937,Gold - Biggest consumer
8779,Gold - Frequent consumer
9596,Gold - Low consumer
2891,Gold - Biggest consumer
4910,Gold - Biggest consumer
75,Gold - Frequent consumer
10120,Gold - Frequent consumer
6327,Gold - Frequent consumer
10142,Gold - Biggest consumer
9826,Gold - Frequent consumer
1501,Gold - Low consumer
10767,Gold - Frequent consumer
7279,Gold - Biggest consumer
7230,Gold - Low consumer
143,Gold - Biggest consumer
450,Gold - Biggest consumer
9316,Gold - Low consumer
6379,Gold - Frequent consumer
9239,Gold - Low consumer
8315,Gold - Low consumer
2868,Gold - Low consumer
10888,Gold - Frequent consumer
1277,Gold - Frequent consumer
9977,Gold - Frequent consumer
10196,Gold - Frequent consumer
6384,Gold - Biggest consumer
8029,Gold - Frequent consumer
968,Gold - Low consumer
6988,Gold - Biggest consumer
4472,Gold - Frequent consumer
6991,Gold - Frequent consumer
3336,Gold - Biggest consumer
4301,Gold - Frequent consumer
1940,Gold - Low consumer
1272,Gold - Biggest consumer
1388,Gold - Frequent consumer
1044,Gold - Frequent consumer
6969,Gold - Low consumer
10479,Gold - Biggest consumer
3619,Gold - Biggest consumer
1715,Gold - Low consumer
10159,Gold - Biggest consumer
1463,Gold - Low consumer
5114,Gold - Low consumer
4990,Gold - Biggest consumer
4329,Gold - Low consumer
10936,Gold - Biggest consumer
4692,Gold - Frequent consumer
7212,Gold - Low consumer
6086,Gold - Frequent consumer
437,Gold - Biggest consumer
11171,Gold - Frequent consumer
11101,Gold - Biggest consumer
5329,Non consumer
610,Gold - Frequent consumer
9384,Gold - Biggest consumer
5956,Gold - Frequent consumer
10430,Gold - Frequent consumer
7875,Non consumer
7072,Gold - Biggest consumer
6255,Gold - Frequent consumer
6516,Gold - Low consumer
5564,Gold - Biggest consumer
5682,Gold - Frequent consumer
7458,Gold - Frequent consumer
5237,Gold - Low consumer
7761,Gold - Frequent consumer
5278,Gold - Frequent consumer
3560,Gold - Biggest consumer
7235,Gold - Low consumer
10548,Gold - Frequent consumer
2281,Gold - Frequent consumer
4073,Gold - Biggest consumer
6974,Gold - Biggest consumer
7938,Gold - Low consumer
7094,Gold - Biggest consumer
3667,Gold - Frequent consumer
7723,Gold - Biggest consumer
3870,Gold - Biggest consumer
4012,Gold - Frequent consumer
5909,Gold - Biggest consumer
10470,Gold - Frequent consumer
6488,Gold - Frequent consumer
10270,Gold - Frequent consumer
6887,Gold - Frequent consumer
6406,Gold - Frequent consumer
7573,Gold - Frequent consumer
4508,Gold - Biggest consumer
221,Gold - Biggest consumer
5331,Gold - Biggest consumer
1911,Gold - Biggest consumer
20,Gold - Biggest consumer
8786,Gold - Biggest consumer
10582,Gold - Biggest consumer
1915,Gold - Biggest consumer
8897,Gold - Biggest consumer
2371,Gold - Frequent consumer
4303,Gold - Frequent consumer
6825,Non consumer
1072,Gold - Low consumer
4964,Non consumer
2461,Gold - Low consumer
10736,Gold - Biggest consumer
3194,Non consumer
10839,Gold - Low consumer
49,Gold - Low consumer
4290,Gold - Low consumer
10219,Gold - Low consumer
4211,Gold - Frequent consumer
1135,Gold - Low consumer
6299,Gold - Biggest consumer
10846,Gold - Biggest consumer
347,Gold - Frequent consumer
6543,Gold - Biggest consumer
10446,Gold - Frequent consumer
3479,Gold - Frequent consumer
11075,Gold - Frequent consumer
4442,Gold - Frequent consumer
199,Gold - Frequent consumer
6722,Gold - Frequent consumer
796,Gold - Biggest consumer
3749,Gold - Frequent consumer
8523,Gold - Low consumer
310,Gold - Frequent consumer
8629,Gold - Low consumer
236,Gold - Frequent consumer
9930,Gold - Frequent consumer
3483,Gold - Frequent consumer
4599,Gold - Frequent consumer
7326,Non consumer
7352,Gold - Frequent consumer
2350,Gold - Biggest consumer
9145,Gold - Biggest consumer
2964,Gold - Frequent consumer
5585,Gold - Low consumer
9687,Gold - Frequent consumer
3732,Gold - Biggest consumer
6303,Gold - Frequent consumer
11176,Gold - Low consumer
2986,Gold - Low consumer
7462,Gold - Biggest consumer
3900,Gold - Frequent consumer
7034,Gold - Frequent consumer
9493,Gold - Frequent consumer
1143,Gold - Frequent consumer
1,Gold - Frequent consumer
3855,Gold - Frequent consumer
5536,Gold - Frequent consumer
5989,Gold - Frequent consumer
9499,Gold - Frequent consumer
6768,Gold - Low consumer
2150,Gold - Frequent consumer
6646,Gold - Low consumer
4887,Gold - Low consumer
8560,Gold - Biggest consumer
3321,Gold - Low consumer
11003,Gold - Frequent consumer
10402,Gold - Low consumer
9904,Gold - Biggest consumer
6141,Gold - Biggest consumer
5687,Gold - Biggest consumer
10856,Gold - Low consumer
5121,Gold - Biggest consumer
4186,Gold - Frequent consumer
368,Gold - Frequent consumer
3312,Gold - Frequent consumer
11121,Gold - Low consumer
5332,Gold - Frequent consumer
5848,Gold - Biggest consumer
10343,Gold - Biggest consumer
5935,Gold - Biggest consumer
2895,Gold - Frequent consumer
10262,Gold - Frequent consumer
7848,Gold - Biggest consumer
9477,Gold - Low consumer
4856,Gold - Biggest consumer
7186,Gold - Low consumer
5794,Gold - Frequent consumer
1456,Gold - Biggest consumer
4877,Non consumer
425,Gold - Biggest consumer
3007,Gold - Low consumer
1031,Gold - Frequent consumer
4297,Non consumer
807,Gold - Frequent consumer
9553,Gold - Low consumer
4271,Gold - Biggest consumer
4120,Gold - Biggest consumer
2036,Gold - Frequent consumer
115,Gold - Low consumer
4259,Non consumer
8687,Gold - Biggest consumer
2447,Gold - Frequent consumer
10140,Non consumer
9353,Gold - Frequent consumer
3623,Gold - Low consumer
738,Gold - Frequent consumer
7631,Gold - Biggest consumer
4789,Gold - Frequent consumer
773,Gold - Biggest consumer
10602,Gold - Frequent consumer
1446,Gold - Biggest consumer
3270,Gold - Low consumer
8443,Gold - Frequent consumer
9653,Gold - Frequent consumer
8916,Gold - Low consumer
8017,Gold - Low consumer
5830,Gold - Frequent consumer
4597,Gold - Biggest consumer
7023,Gold - Frequent consumer
8086,Gold - Low consumer
8825,Gold - Biggest consumer
2930,Gold - Frequent consumer
1928,Gold - Frequent consumer
7108,Gold - Frequent consumer
10925,Gold - Biggest consumer
9960,Gold - Low consumer
8800,Gold - Frequent consumer
9224,Gold - Biggest consumer
5519,Gold - Biggest consumer
5046,Gold - Biggest consumer
7037,Gold - Low consumer
905,Gold - Frequent consumer
8624,Gold - Frequent consumer
8945,Gold - Frequent consumer
6445,Gold - Frequent consumer
2727,Gold - Biggest consumer
6404,Gold - Frequent consumer
11074,Gold - Biggest consumer
10150,Gold - Frequent consumer
1968,Gold - Low consumer
6534,Gold - Low consumer
9485,Gold - Frequent consumer
7053,Gold - Frequent consumer
4654,Gold - Frequent consumer
9760,Gold - Biggest consumer
1048,Gold - Frequent consumer
10619,Gold - Frequent consumer
9308,Gold - Frequent consumer
10505,Gold - Frequent consumer
8362,Non consumer
2625,Gold - Frequent consumer
4637,Gold - Frequent consumer
9972,Gold - Low consumer
4483,Gold - Biggest consumer
4487,Gold - Frequent consumer
4988,Gold - Frequent consumer
8931,Gold - Frequent consumer
5871,Gold - Biggest consumer
2008,Gold - Biggest consumer
3139,Gold - Biggest consumer
10037,Gold - Biggest consumer
10673,Gold - Biggest consumer
5303,Gold - Frequent consumer
538,Gold - Frequent consumer
7922,Gold - Biggest consumer
5692,Gold - Low consumer
4843,Gold - Biggest consumer
6383,Gold - Low consumer
1628,Gold - Frequent consumer
1204,Gold - Frequent consumer
3673,Gold - Biggest consumer
760,Gold - Frequent consumer
8957,Gold - Biggest consumer
4128,Gold - Biggest consumer
6810,Gold - Biggest consumer
5386,Gold - Biggest consumer
8700,Gold - Frequent consumer
3202,Gold - Frequent consumer
1328,Gold - Biggest consumer
8405,Gold - Frequent consumer
6515,Gold - Frequent consumer
2882,Gold - Frequent consumer
7574,Gold - Frequent consumer
6387,Gold - Frequent consumer
5320,Gold - Frequent consumer
5048,Gold - Frequent consumer
8146,Gold - Frequent consumer
10031,Gold - Low consumer
5748,Gold - Biggest consumer
2134,Gold - Biggest consumer
1523,Gold - Low consumer
9665,Gold - Frequent consumer
4640,Gold - Biggest consumer
3635,Gold - Frequent consumer
3547,Gold - Frequent consumer
2456,Gold - Low consumer
5633,Gold - Frequent consumer
7801,Gold - Biggest consumer
10489,Gold - Biggest consumer
7011,Gold - Frequent consumer
2620,Gold - Low consumer
3933,Gold - Frequent consumer
10981,Gold - Frequent consumer
1734,Gold - Low consumer
10995,Gold - Frequent consumer
6357,Gold - Frequent consumer
9209,Gold - Frequent consumer
10286,Gold - Low consumer
2611,Gold - Frequent consumer
1600,Gold - Frequent consumer
3308,Gold - Frequent consumer
5407,Gold - Biggest consumer
2166,Gold - Low consumer
3955,Gold - Low consumer
6634,Gold - Frequent consumer
3056,Gold - Frequent consumer
5718,Gold - Biggest consumer
6872,Gold - Frequent consumer
8164,Gold - Frequent consumer
4580,Gold - Biggest consumer
9305,Gold - Biggest consumer
453,Gold - Low consumer
8545,Gold - Frequent consumer
9850,Gold - Low consumer
7378,Gold - Frequent consumer
7646,Gold - Biggest consumer
1640,Gold - Frequent consumer
5184,Gold - Low consumer
8492,Non consumer
