account_id,children
8594,1 child
7059,No child
2815,1 child
2416,No child
7999,No child
9213,1 child
9697,2 children
3916,1 child
2021,1 child
1581,1 child
564,1 child
6619,2 children
9081,1 child
178,1 child
916,2 children
5512,1 child
8970,1 child
10581,1 child
5300,1 child
5154,1 child
8346,1 child
1676,1 child
9286,No child
2426,No child
5172,1 child
5562,1 child
3436,1 child
3921,No child
3403,1 child
22,1 child
10965,No child
9426,1 child
6605,No child
3136,1 child
8737,1 child
11088,1 child
716,1 child
466,No child
9135,2 children
10623,1 child
8151,No child
5140,1 child
10160,1 child
4945,No child
10584,1 child
6071,No child
3386,No child
8939,1 child
9925,1 child
4320,1 child
5389,2 children
6036,No child
182,1 child
203,No child
11025,2 children
10203,1 child
4607,No child
3711,No child
3696,2 children
2532,No child
9214,No child
4943,No child
35,1 child
2258,1 child
4322,No child
713,No child
4702,No child
3281,2 children
702,1 child
2004,1 child
4769,2 children
4437,2 children
8724,1 child
10741,1 child
1991,1 child
6931,No child
11096,1 child
304,1 child
3665,1 child
10591,1 child
5036,1 child
5547,No child
7822,1 child
8541,1 child
10955,No child
4368,1 child
9671,2 children
2256,2 children
4279,2 children
5371,1 child
9240,1 child
9460,No child
9504,No child
8692,2 children
448,1 child
8314,No child
8420,No child
3174,1 child
7685,1 child
3179,No child
9780,1 child
10681,1 child
10232,1 child
4184,1 child
9120,1 child
891,2 children
10381,1 child
3525,2 children
6818,1 child
3526,2 children
8181,1 child
1029,1 child
7369,1 child
2574,1 child
8159,2 children
1160,2 children
10242,2 children
5253,2 children
5966,2 children
5314,1 child
5081,2 children
5123,No child
5756,1 child
8036,2 children
9058,No child
5057,1 child
254,1 child
4179,No child
3710,1 child
7627,No child
4501,No child
6424,1 child
3075,No child
4992,1 child
5252,1 child
7444,2 children
6919,1 child
3537,1 child
10277,1 child
2453,1 child
7972,No child
895,2 children
1177,2 children
7141,1 child
7232,1 child
8477,3 children
2457,1 child
988,No child
7930,No child
4587,No child
6682,1 child
6222,3 children
10299,No child
3083,2 children
8953,3 children
1503,2 children
8650,2 children
10862,1 child
2782,1 child
6941,No child
10972,No child
10708,1 child
6583,No child
3641,1 child
10156,1 child
4299,1 child
3469,2 children
5063,1 child
10727,1 child
9624,No child
5156,1 child
4376,No child
8923,No child
8461,3 children
6945,No child
944,1 child
1907,1 child
701,1 child
3856,1 child
4149,No child
2131,1 child
2942,1 child
1173,No child
4381,2 children
4611,No child
3376,1 child
4679,1 child
10928,1 child
4248,No child
6728,1 child
6661,1 child
4725,1 child
3277,1 child
5555,No child
2564,1 child
946,No child
3867,1 child
6940,3 children
55,1 child
7093,1 child
5084,1 child
1777,No child
8162,No child
10826,No child
8754,1 child
1987,1 child
11007,1 child
7426,2 children
9153,1 child
10379,2 children
9204,1 child
3197,1 child
2920,1 child
6961,2 children
4673,1 child
9937,No child
8779,1 child
9596,No child
2891,1 child
4910,No child
75,No child
10120,1 child
6327,No child
10142,1 child
9826,No child
1501,No child
10767,No child
7279,No child
7230,1 child
143,No child
450,1 child
9316,No child
6379,2 children
9239,2 children
8315,No child
2868,2 children
10888,No child
1277,No child
9977,1 child
10196,2 children
6384,1 child
8029,No child
968,1 child
6988,1 child
4472,1 child
6991,1 child
3336,1 child
4301,1 child
1940,1 child
1272,1 child
1388,1 child
1044,No child
6969,1 child
10479,No child
3619,No child
1715,1 child
10159,1 child
1463,2 children
5114,1 child
4990,No child
4329,1 child
10936,No child
4692,1 child
7212,1 child
6086,No child
437,No child
11171,3 children
11101,No child
5329,2 children
610,2 children
9384,2 children
5956,3 children
10430,2 children
7875,No child
7072,1 child
6255,1 child
6516,1 child
5564,1 child
5682,1 child
7458,2 children
5237,3 children
7761,1 child
5278,No child
3560,No child
7235,1 child
10548,No child
2281,1 child
4073,No child
6974,No child
7938,1 child
7094,1 child
3667,No child
7723,No child
3870,No child
4012,1 child
5909,1 child
10470,1 child
6488,1 child
10270,1 child
6887,2 children
6406,No child
7573,1 child
4508,No child
221,1 child
5331,No child
1911,No child
20,1 child
8786,1 child
10582,1 child
1915,No child
8897,2 children
2371,2 children
4303,1 child
6825,2 children
1072,1 child
4964,No child
2461,2 children
10736,1 child
3194,No child
10839,2 children
49,1 child
4290,1 child
10219,1 child
4211,1 child
1135,2 children
6299,1 child
10846,1 child
347,1 child
6543,No child
10446,No child
3479,No child
11075,2 children
4442,1 child
199,No child
6722,1 child
796,1 child
3749,No child
8523,1 child
310,1 child
8629,2 children
236,2 children
9930,No child
3483,No child
4599,2 children
7326,1 child
7352,1 child
2350,2 children
9145,1 child
2964,No child
5585,1 child
9687,No child
3732,1 child
6303,No child
11176,1 child
2986,2 children
7462,No child
3900,1 child
7034,1 child
9493,No child
1143,1 child
1,No child
3855,No child
5536,1 child
5989,1 child
9499,3 children
6768,3 children
2150,1 child
6646,1 child
4887,2 children
8560,No child
3321,2 children
11003,1 child
10402,2 children
9904,1 child
6141,1 child
5687,No child
10856,1 child
5121,1 child
4186,2 children
368,1 child
3312,1 child
11121,1 child
5332,No child
5848,No child
10343,No child
5935,1 child
2895,1 child
10262,2 children
7848,1 child
9477,1 child
4856,No child
7186,2 children
5794,1 child
1456,1 child
4877,1 child
425,2 children
3007,2 children
1031,No child
4297,1 child
807,2 children
9553,No child
4271,1 child
4120,1 child
2036,1 child
115,1 child
4259,2 children
8687,1 child
2447,1 child
10140,No child
9353,1 child
3623,1 child
738,2 children
7631,1 child
4789,No child
773,2 children
10602,1 child
1446,No child
3270,1 child
8443,1 child
9653,1 child
8916,2 children
8017,2 children
5830,No child
4597,No child
7023,3 children
8086,2 children
8825,2 children
2930,No child
1928,1 child
7108,2 children
10925,No child
9960,1 child
8800,No child
9224,1 child
5519,1 child
5046,1 child
7037,1 child
905,1 child
8624,No child
8945,1 child
6445,No child
2727,No child
6404,3 children
11074,No child
10150,No child
1968,1 child
6534,1 child
9485,No child
7053,No child
4654,No child
9760,1 child
1048,1 child
10619,No child
9308,No child
10505,No child
8362,No child
2625,1 child
4637,No child
9972,2 children
4483,No child
4487,1 child
4988,2 children
8931,1 child
5871,No child
2008,No child
3139,No child
10037,No child
10673,1 child
5303,No child
538,1 child
7922,1 child
5692,1 child
4843,No child
6383,1 child
1628,No child
1204,1 child
3673,1 child
760,1 child
8957,2 children
4128,1 child
6810,No child
5386,No child
8700,No child
3202,No child
1328,1 child
8405,2 children
6515,1 child
2882,1 child
7574,1 child
6387,2 children
5320,2 children
5048,2 children
8146,2 children
10031,2 children
5748,1 child
2134,1 child
1523,2 children
9665,1 child
4640,1 child
3635,1 child
3547,1 child
2456,1 child
5633,2 children
7801,1 child
10489,No child
7011,1 child
2620,1 child
3933,1 child
10981,No child
1734,3 children
10995,1 child
6357,1 child
9209,No child
10286,No child
2611,No child
1600,3 children
3308,2 children
5407,1 child
2166,2 children
3955,No child
6634,1 child
3056,1 child
5718,No child
6872,1 child
8164,No child
4580,No child
9305,No child
453,2 children
8545,No child
9850,1 child
7378,1 child
7646,1 child
1640,2 children
5184,No child
8492,No child
11188,2 children
1212,1 child
9097,1 child
10473,1 child
7962,No child
9984,2 children
5527,1 child
6374,1 child
7453,1 child
8952,1 child
241,No child
8975,2 children
6119,2 children
5236,1 child
5723,1 child
1710,1 child
1970,1 child
5313,2 children
10634,No child
7010,No child
8562,No child
3158,1 child
4436,No child
5287,1 child
2445,1 child
6059,3 children
4550,1 child
4240,1 child
8911,1 child
3706,1 child
3628,1 child
10175,1 child
8985,1 child
5204,No child
9220,No child
9888,No child
5263,1 child
1020,No child
9503,No child
10613,2 children
67,2 children
6019,1 child
5863,1 child
3717,1 child
6730,2 children
10749,No child
4998,No child
6287,1 child
5985,1 child
4754,1 child
4002,1 child
8870,1 child
966,1 child
4767,No child
9725,2 children
4475,No child
5740,2 children
5731,1 child
7290,No child
3846,1 child
8104,No child
4507,No child
11013,No child
4491,2 children
3759,2 children
1162,No child
2055,2 children
10766,1 child
4415,2 children
3005,No child
2223,1 child
4817,No child
2875,No child
10536,1 child
11112,1 child
3807,1 child
9197,1 child
10832,No child
6421,No child
4207,No child
577,2 children
10855,1 child
3081,1 child
3535,No child
247,1 child
8707,No child
9523,1 child
6072,No child
6295,1 child
10914,2 children
1509,No child
5577,1 child
7348,No child
1127,No child
1833,1 child
4944,No child
9080,2 children
6466,2 children
9964,1 child
4790,1 child
10245,No child
1109,1 child
6001,1 child
5538,No child
10552,1 child
1545,1 child
7409,1 child
4444,1 child
146,No child
6271,1 child
10065,No child
4741,1 child
246,2 children
375,No child
1524,No child
10022,2 children
7451,No child
11010,1 child
4356,1 child
3885,1 child
1175,No child
880,No child
2320,1 child
850,1 child
4713,1 child
675,2 children
5025,1 child
2308,1 child
5995,2 children
6749,2 children
1010,3 children
8977,No child
4756,No child
3412,1 child
606,2 children
5961,1 child
2975,1 child
2894,No child
7613,1 child
10542,2 children
8015,No child
10617,No child
11166,1 child
849,1 child
523,1 child
4066,1 child
8414,1 child
819,No child
4961,1 child
749,1 child
5430,2 children
7755,1 child
10525,1 child
1453,No child
8310,1 child
10710,1 child
5031,No child
2613,1 child
213,2 children
967,2 children
1077,No child
7959,No child
640,1 child
4252,1 child
8432,2 children
6218,1 child
6905,No child
5922,1 child
3598,1 child
6116,1 child
6263,3 children
10486,No child
2410,No child
193,No child
3363,No child
8278,No child
10660,2 children
8686,1 child
1604,1 child
5907,2 children
10669,1 child
2918,2 children
5735,No child
359,1 child
8387,1 child
1829,1 child
3839,2 children
9392,1 child
2292,1 child
10466,2 children
9855,1 child
4088,1 child
5231,2 children
590,No child
8732,1 child
2315,1 child
3515,1 child
2245,2 children
6283,1 child
2246,1 child
6606,1 child
5545,No child
7342,1 child
837,2 children
9500,1 child
3602,1 child
234,1 child
2995,No child
1118,1 child
7789,No child
3068,No child
8955,2 children
945,1 child
5644,1 child
7192,1 child
2324,1 child
697,No child
3439,2 children
1506,2 children
232,1 child
8876,2 children
4500,No child
9739,1 child
10395,1 child
1176,1 child
1627,No child
938,2 children
2740,2 children
257,1 child
4058,No child
7736,1 child
8210,1 child
833,2 children
6230,2 children
7325,1 child
1307,1 child
1502,1 child
6211,1 child
843,1 child
4174,1 child
9757,No child
6918,1 child
286,2 children
11086,1 child
1921,3 children
4138,1 child
7718,No child
1291,1 child
6862,No child
4136,1 child
803,2 children
4298,1 child
10833,1 child
9606,No child
8534,2 children
5153,1 child
961,1 child
5011,1 child
6653,2 children
9094,1 child
810,1 child
5493,2 children
2147,No child
5107,2 children
3979,No child
6049,No child
8147,2 children
1857,2 children
3910,No child
5207,2 children
11114,1 child
5429,1 child
9400,No child
1740,No child
7488,1 child
195,1 child
635,2 children
7527,1 child
10319,1 child
2296,1 child
10637,3 children
2931,No child
907,1 child
3698,No child
9516,No child
679,2 children
7384,No child
5043,No child
5267,1 child
339,1 child
2516,2 children
9010,No child
378,No child
4808,No child
5068,1 child
7628,1 child
7128,2 children
2811,2 children
3551,1 child
1663,1 child
5543,1 child
1577,No child
10641,2 children
5336,1 child
6024,No child
1878,No child
3099,2 children
6055,No child
5841,1 child
3972,2 children
4394,No child
5758,No child
6658,1 child
4603,1 child
8427,No child
10260,1 child
7143,1 child
8789,1 child
6197,2 children
4554,1 child
4937,2 children
1920,2 children
8749,1 child
1650,No child
10377,1 child
9206,1 child
10971,2 children
6398,1 child
9212,1 child
7937,No child
839,1 child
4246,No child
158,No child
4832,1 child
5621,2 children
1945,1 child
5147,No child
2535,1 child
11039,1 child
9495,No child
9635,No child
2173,1 child
942,1 child
9386,1 child
5510,1 child
873,2 children
2253,No child
5181,1 child
979,1 child
10390,1 child
4698,No child
7793,1 child
1745,No child
10590,No child
5080,No child
8369,1 child
5232,1 child
2407,No child
3834,1 child
7912,1 child
7712,No child
1065,No child
7275,2 children
1343,2 children
1384,1 child
9967,2 children
6181,No child
10507,1 child
2674,1 child
2698,1 child
3231,1 child
4096,1 child
10476,1 child
5948,1 child
9140,2 children
10258,3 children
5675,1 child
4743,1 child
8805,1 child
1542,3 children
6770,1 child
8773,1 child
10420,1 child
7514,2 children
793,1 child
10909,No child
8702,2 children
4791,2 children
2963,No child
8216,2 children
8140,1 child
10146,1 child
5289,2 children
2587,1 child
4405,2 children
8663,2 children
2589,1 child
3421,1 child
10490,2 children
4094,2 children
9958,1 child
2534,1 child
4188,1 child
6613,1 child
10827,2 children
5491,1 child
8402,1 child
8783,1 child
10010,2 children
618,1 child
9121,1 child
361,2 children
4310,No child
2678,1 child
6376,1 child
524,No child
10341,No child
5654,3 children
4098,2 children
5824,3 children
7000,No child
2561,1 child
5229,1 child
4086,No child
2428,1 child
8254,1 child
2836,1 child
8418,2 children
1362,No child
7152,1 child
10033,1 child
9349,No child
274,2 children
3388,2 children
922,2 children
8588,2 children
2518,No child
574,No child
3220,1 child
5967,2 children
1183,2 children
6856,1 child
4530,No child
1553,No child
4682,No child
8204,No child
5221,1 child
1232,No child
1927,1 child
5788,1 child
6652,No child
6246,No child
5975,1 child
6875,No child
4399,No child
4042,1 child
2157,2 children
10133,No child
2525,No child
8233,1 child
9483,1 child
2945,2 children
10403,1 child
5074,1 child
10524,1 child
4690,1 child
7521,No child
7196,2 children
4406,1 child
9672,2 children
4864,1 child
4706,1 child
4070,2 children
25,1 child
3697,1 child
217,No child
4220,1 child
5286,No child
9559,1 child
2849,1 child
7787,1 child
3102,1 child
5868,1 child
8370,1 child
9988,1 child
2939,No child
5529,3 children
9743,1 child
5763,1 child
3478,2 children
7494,2 children
1763,No child
7250,1 child
2005,1 child
10770,No child
6885,1 child
2072,1 child
9463,1 child
6318,No child
4093,2 children
5751,1 child
3340,1 child
3594,2 children
3584,No child
3643,No child
851,2 children
7706,1 child
3967,No child
10128,1 child
486,No child
9,2 children
9451,1 child
9264,No child
3865,No child
2853,1 child
1490,1 child
6310,1 child
10380,1 child
3887,1 child
4278,No child
8643,No child
1998,1 child
10795,1 child
11110,1 child
2408,2 children
202,No child
7998,2 children
830,No child
3536,1 child
6050,1 child
125,2 children
3463,1 child
2804,2 children
3745,1 child
9771,1 child
451,1 child
10530,No child
1079,1 child
8920,1 child
6678,1 child
3852,2 children
528,No child
73,3 children
5589,1 child
10212,1 child
6365,No child
5636,No child
591,1 child
2217,2 children
2544,1 child
7725,No child
8091,1 child
7321,No child
5462,1 child
7791,2 children
955,2 children
4037,1 child
6642,3 children
2793,1 child
5424,1 child
879,2 children
9530,1 child
4828,1 child
10699,1 child
1497,1 child
7476,1 child
4390,1 child
10478,2 children
1081,3 children
4261,No child
9916,2 children
5350,No child
8135,1 child
8685,1 child
4967,1 child
2130,2 children
9298,No child
8175,No child
6257,1 child
3790,3 children
9952,No child
3503,No child
5223,1 child
4608,No child
1626,2 children
4764,2 children
2471,No child
5892,1 child
2612,No child
4971,1 child
5185,No child
10069,1 child
2262,1 child
1131,1 child
1041,1 child
24,2 children
3409,1 child
7022,1 child
7943,1 child
5272,1 child
5453,No child
2565,No child
800,2 children
11092,2 children
5062,2 children
8969,1 child
4656,1 child
4480,1 child
9971,1 child
6729,No child
1773,No child
9242,No child
1764,1 child
6215,2 children
10099,1 child
5423,1 child
940,1 child
3011,1 child
3298,1 child
8286,1 child
9668,1 child
5120,No child
6097,2 children
7019,2 children
7408,1 child
8041,1 child
252,No child
9986,1 child
3276,1 child
3859,1 child
3570,1 child
3783,2 children
10207,1 child
10906,2 children
3427,1 child
5209,1 child
10711,No child
10785,2 children
2814,1 child
6866,2 children
1665,2 children
6575,2 children
3829,1 child
3091,1 child
10141,No child
5177,1 child
7005,No child
6409,No child
7485,2 children
8079,1 child
8395,No child
10352,2 children
4931,No child
13,1 child
1834,1 child
2285,1 child
2295,1 child
1378,1 child
2781,No child
1165,2 children
1404,2 children
6457,1 child
2639,2 children
8299,No child
6437,1 child
6912,2 children
7327,2 children
5299,1 child
4127,1 child
8143,No child
1964,No child
3690,No child
3433,No child
3389,1 child
4712,No child
1170,1 child
6347,1 child
4065,1 child
8230,1 child
1215,No child
5939,2 children
2156,2 children
7788,1 child
10323,1 child
7947,2 children
1891,No child
2570,1 child
9256,1 child
295,No child
7397,1 child
6349,No child
10790,1 child
10398,1 child
2431,No child
550,1 child
1890,2 children
10742,No child
10356,2 children
4676,2 children
8852,1 child
3565,2 children
5294,1 child
1958,1 child
7349,1 child
8799,1 child
1351,1 child
1045,1 child
7732,1 child
8070,1 child
477,No child
7832,1 child
2202,1 child
7396,No child
4055,1 child
10340,1 child
10091,1 child
7629,2 children
10640,2 children
3498,1 child
6742,1 child
1172,No child
569,No child
4686,No child
1381,1 child
2634,1 child
10905,2 children
1744,1 child
1000,2 children
3828,1 child
8605,2 children
10304,No child
4351,2 children
10129,No child
2499,1 child
10092,1 child
7500,2 children
5796,No child
10556,1 child
1064,1 child
48,1 child
7610,1 child
263,No child
10814,No child
9710,1 child
9292,No child
10250,No child
7881,No child
5847,1 child
737,No child
3571,1 child
7807,1 child
3878,1 child
5092,1 child
2154,2 children
5394,2 children
3798,2 children
3524,1 child
5247,2 children
5883,1 child
2118,1 child
8812,1 child
6616,1 child
2797,1 child
4328,1 child
9167,1 child
10560,1 child
2631,No child
8312,No child
5534,1 child
5093,1 child
7592,No child
8895,No child
8584,No child
2694,1 child
8910,2 children
7433,1 child
164,No child
10477,1 child
2681,No child
5150,1 child
5283,2 children
9645,No child
10678,1 child
7261,2 children
9648,2 children
2870,1 child
8008,1 child
1513,2 children
6173,1 child
1419,2 children
9150,2 children
7960,No child
1250,1 child
9905,2 children
10691,2 children
7002,1 child
2952,1 child
8439,2 children
762,1 child
2831,1 child
6977,1 child
6289,2 children
4168,2 children
8397,2 children
9284,1 child
6237,2 children
3130,2 children
1619,No child
1990,No child
5513,2 children
269,1 child
8093,No child
10513,No child
10177,1 child
2549,1 child
5782,1 child
10057,No child
10307,2 children
8566,2 children
2415,1 child
5684,2 children
8334,2 children
9166,1 child
1440,No child
78,1 child
5441,1 child
5302,No child
4687,No child
1087,1 child
6859,1 child
9860,1 child
7129,1 child
5866,1 child
10521,2 children
7393,2 children
7849,No child
332,1 child
9847,1 child
531,1 child
9576,1 child
6906,No child
7419,1 child
3170,No child
8527,2 children
7872,No child
9931,2 children
10595,No child
4609,1 child
5010,1 child
4427,No child
11148,1 child
1168,No child
9595,No child
10163,No child
2886,1 child
6710,3 children
5316,No child
9029,No child
521,1 child
1459,1 child
10241,No child
1630,1 child
3254,1 child
9064,No child
3678,2 children
4227,2 children
9467,1 child
8486,1 child
2186,No child
3286,1 child
8602,1 child
3722,2 children
6715,1 child
4796,1 child
9612,No child
3766,No child
1399,No child
1570,1 child
3426,1 child
3074,No child
8341,1 child
5180,1 child
6461,1 child
7679,No child
10702,1 child
7505,2 children
5113,No child
10858,2 children
2961,1 child
2747,No child
3010,No child
5790,1 child
6892,1 child
1743,No child
3578,1 child
8462,1 child
5558,No child
4619,No child
8780,1 child
10789,2 children
10779,No child
5896,No child
2337,1 child
10951,1 child
544,No child
17,1 child
10680,1 child
3265,No child
5623,1 child
5832,No child
5544,1 child
6417,No child
5831,1 child
7101,1 child
10176,1 child
2326,No child
4385,1 child
2929,No child
10686,2 children
2546,1 child
3283,1 child
3138,No child
4994,No child
7966,2 children
3112,1 child
10872,1 child
2181,No child
1867,No child
1518,2 children
5734,2 children
2878,1 child
1458,1 child
7007,2 children
6200,1 child
1403,2 children
4827,1 child
6250,1 child
9291,1 child
2478,1 child
1139,No child
5138,1 child
5393,1 child
10413,No child
5015,1 child
10868,No child
10676,No child
2495,1 child
7842,2 children
9955,1 child
6663,No child
2162,1 child
3434,No child
7919,No child
5626,No child
6428,No child
8514,1 child
10448,1 child
2109,No child
7530,2 children
8925,1 child
3009,No child
6355,2 children
3517,2 children
1158,1 child
6203,No child
7165,1 child
3595,1 child
8537,No child
4331,No child
6281,1 child
4338,1 child
2452,2 children
9507,1 child
8360,2 children
10311,1 child
5117,No child
4867,2 children
9289,1 child
10913,1 child
3032,1 child
8524,1 child
3334,No child
4470,1 child
1406,2 children
8619,1 child
10821,2 children
4552,No child
898,1 child
9797,1 child
10949,No child
8212,1 child
6248,No child
10164,1 child
4547,2 children
6815,No child
4122,No child
10841,1 child
5370,1 child
176,1 child
4860,1 child
10757,1 child
4023,1 child
6679,No child
9923,2 children
7181,1 child
3599,1 child
405,1 child
6870,1 child
832,1 child
2002,No child
3657,1 child
500,No child
1951,No child
3262,No child
4102,2 children
7042,No child
10598,2 children
255,2 children
2375,3 children
9829,1 child
6214,1 child
4954,2 children
7861,1 child
4837,1 child
9423,1 child
4198,2 children
153,No child
9323,1 child
10001,1 child
3945,1 child
3799,1 child
8625,1 child
3491,1 child
983,1 child
9119,1 child
4786,2 children
5872,1 child
6568,1 child
5628,No child
5631,No child
4974,3 children
8416,1 child
5454,1 child
4095,1 child
5474,1 child
4268,1 child
10701,No child
3507,1 child
2079,No child
626,2 children
4426,2 children
2591,1 child
10509,2 children
6382,2 children
6673,No child
7441,1 child
1071,1 child
10061,1 child
8775,1 child
2345,No child
322,2 children
10897,1 child
123,1 child
6103,No child
7899,1 child
10500,1 child
1655,1 child
2406,1 child
2712,1 child
5517,1 child
10643,No child
2254,No child
10281,1 child
6958,1 child
954,No child
4643,1 child
6497,1 child
5396,No child
1052,1 child
2802,No child
6343,1 child
6507,1 child
7901,1 child
4865,2 children
2686,No child
3107,1 child
7734,No child
1146,1 child
11031,2 children
7428,No child
975,2 children
1103,1 child
3422,1 child
1055,2 children
6544,1 child
1241,1 child
2909,1 child
5802,No child
1407,1 child
6183,1 child
340,1 child
5991,1 child
3104,No child
9729,2 children
1008,No child
11091,2 children
3969,1 child
1916,1 child
9907,1 child
87,1 child
8659,1 child
6262,No child
6147,1 child
8832,1 child
10067,2 children
7532,1 child
4915,1 child
2115,2 children
2088,No child
2493,1 child
6292,No child
1631,No child
10104,3 children
3006,1 child
3919,No child
11181,No child
642,1 child
4369,No child
