account_id,fruits-segment
9862,Fruits - Frequent consumer
9805,Fruits - Biggest consumer
6205,Fruits - Low consumer
8442,Non consumer
7386,Non consumer
7215,Fruits - Frequent consumer
1491,Fruits - Frequent consumer
11071,Fruits - Biggest consumer
3381,Non consumer
11051,Fruits - Frequent consumer
8026,Fruits - Biggest consumer
433,Fruits - Frequent consumer
9597,Fruits - Biggest consumer
5290,Non consumer
1685,Fruits - Frequent consumer
5342,Fruits - Low consumer
9579,Fruits - Low consumer
7660,Non consumer
1461,Fruits - Low consumer
821,Fruits - Biggest consumer
11084,Non consumer
8690,Fruits - Frequent consumer
2937,Fruits - Frequent consumer
9701,Fruits - Frequent consumer
9949,Fruits - Frequent consumer
10837,Fruits - Low consumer
3120,Fruits - Low consumer
5885,Fruits - Low consumer
4050,Fruits - Frequent consumer
3830,Fruits - Frequent consumer
7987,Fruits - Frequent consumer
7798,Fruits - Frequent consumer
92,Fruits - Frequent consumer
7055,Non consumer
10240,Fruits - Frequent consumer
3025,Fruits - Frequent consumer
9283,Fruits - Low consumer
9970,Fruits - Frequent consumer
2730,Fruits - Frequent consumer
2795,Non consumer
9260,Fruits - Frequent consumer
8182,Fruits - Low consumer
10095,Fruits - Frequent consumer
8475,Fruits - Low consumer
4370,Fruits - Low consumer
10573,Fruits - Frequent consumer
3712,Fruits - Frequent consumer
6637,Fruits - Biggest consumer
3152,Fruits - Frequent consumer
5610,Fruits - Low consumer
6460,Fruits - Low consumer
1349,Fruits - Frequent consumer
1880,Non consumer
641,Non consumer
8717,Fruits - Biggest consumer
10314,Fruits - Biggest consumer
10854,Non consumer
10492,Non consumer
6935,Fruits - Frequent consumer
7698,Fruits - Low consumer
3559,Fruits - Frequent consumer
10562,Fruits - Frequent consumer
10796,Fruits - Low consumer
2563,Fruits - Frequent consumer
3518,Fruits - Low consumer
5823,Non consumer
3934,Non consumer
6982,Fruits - Frequent consumer
6431,Fruits - Low consumer
9733,Fruits - Low consumer
5602,Fruits - Frequent consumer
7829,Fruits - Frequent consumer
1324,Fruits - Low consumer
326,Fruits - Frequent consumer
7224,Non consumer
6999,Fruits - Frequent consumer
9938,Fruits - Frequent consumer
6422,Fruits - Biggest consumer
3182,Fruits - Low consumer
7300,Fruits - Low consumer
10424,Fruits - Biggest consumer
8727,Fruits - Frequent consumer
2798,Fruits - Frequent consumer
1030,Non consumer
624,Fruits - Low consumer
5176,Fruits - Frequent consumer
5552,Fruits - Frequent consumer
868,Non consumer
380,Fruits - Biggest consumer
2677,Fruits - Frequent consumer
6521,Fruits - Frequent consumer
6927,Non consumer
2877,Non consumer
0,Fruits - Frequent consumer
1584,Fruits - Frequent consumer
7264,Non consumer
6274,Fruits - Frequent consumer
1377,Fruits - Low consumer
454,Fruits - Frequent consumer
1755,Fruits - Frequent consumer
2075,Fruits - Frequent consumer
4785,Fruits - Frequent consumer
9076,Fruits - Low consumer
7079,Fruits - Frequent consumer
4653,Non consumer
7375,Fruits - Frequent consumer
709,Fruits - Frequent consumer
460,Fruits - Biggest consumer
3726,Fruits - Low consumer
6798,Fruits - Frequent consumer
5341,Fruits - Biggest consumer
1606,Fruits - Low consumer
9617,Fruits - Low consumer
3233,Fruits - Frequent consumer
89,Fruits - Frequent consumer
2936,Non consumer
9449,Fruits - Frequent consumer
7297,Fruits - Low consumer
11004,Non consumer
313,Fruits - Biggest consumer
9940,Fruits - Biggest consumer
10735,Fruits - Low consumer
9529,Fruits - Biggest consumer
6439,Non consumer
7411,Non consumer
2176,Fruits - Frequent consumer
9265,Fruits - Biggest consumer
8867,Fruits - Biggest consumer
8932,Fruits - Frequent consumer
10236,Fruits - Low consumer
6340,Fruits - Low consumer
10089,Fruits - Biggest consumer
2227,Fruits - Biggest consumer
10992,Fruits - Frequent consumer
5304,Non consumer
309,Fruits - Frequent consumer
3406,Fruits - Frequent consumer
2661,Fruits - Low consumer
3153,Non consumer
10264,Fruits - Low consumer
1184,Fruits - Frequent consumer
4200,Fruits - Low consumer
9396,Non consumer
2387,Fruits - Low consumer
6690,Fruits - Low consumer
1225,Fruits - Biggest consumer
9703,Fruits - Low consumer
291,Fruits - Biggest consumer
4557,Fruits - Frequent consumer
2379,Fruits - Biggest consumer
5726,Fruits - Frequent consumer
3066,Non consumer
6336,Fruits - Low consumer
10967,Fruits - Frequent consumer
2304,Fruits - Frequent consumer
3445,Fruits - Biggest consumer
7828,Fruits - Biggest consumer
3762,Non consumer
4391,Fruits - Frequent consumer
4669,Fruits - Frequent consumer
10144,Fruits - Frequent consumer
8652,Fruits - Frequent consumer
1672,Fruits - Frequent consumer
8962,Non consumer
9974,Fruits - Frequent consumer
10983,Fruits - Biggest consumer
8148,Fruits - Frequent consumer
10102,Fruits - Biggest consumer
4697,Fruits - Low consumer
9262,Fruits - Frequent consumer
7254,Non consumer
4543,Fruits - Biggest consumer
4927,Fruits - Low consumer
10451,Fruits - Low consumer
2926,Non consumer
2874,Fruits - Low consumer
9738,Fruits - Low consumer
7119,Fruits - Frequent consumer
3924,Non consumer
5827,Non consumer
5596,Fruits - Frequent consumer
10812,Non consumer
1717,Fruits - Frequent consumer
9491,Fruits - Low consumer
9274,Fruits - Biggest consumer
6609,Fruits - Frequent consumer
6963,Fruits - Frequent consumer
4440,Non consumer
1379,Fruits - Low consumer
10032,Fruits - Frequent consumer
2826,Non consumer
6320,Fruits - Biggest consumer
3050,Non consumer
231,Non consumer
2392,Fruits - Low consumer
9478,Fruits - Biggest consumer
113,Non consumer
1802,Fruits - Frequent consumer
520,Fruits - Low consumer
8275,Non consumer
9750,Fruits - Biggest consumer
2607,Fruits - Frequent consumer
7214,Non consumer
5835,Fruits - Low consumer
3896,Fruits - Low consumer
10350,Non consumer
7786,Fruits - Frequent consumer
2861,Fruits - Low consumer
663,Fruits - Low consumer
10675,Fruits - Frequent consumer
2521,Fruits - Low consumer
9592,Fruits - Low consumer
10151,Fruits - Biggest consumer
7381,Fruits - Biggest consumer
4099,Fruits - Low consumer
9560,Fruits - Biggest consumer
1150,Fruits - Biggest consumer
10172,Fruits - Frequent consumer
11191,Fruits - Frequent consumer
9707,Non consumer
6245,Fruits - Frequent consumer
8234,Fruits - Frequent consumer
1411,Fruits - Frequent consumer
8553,Non consumer
1826,Fruits - Biggest consumer
8842,Non consumer
11030,Non consumer
2579,Fruits - Frequent consumer
175,Fruits - Biggest consumer
9185,Fruits - Frequent consumer
11056,Fruits - Biggest consumer
9365,Non consumer
6201,Fruits - Low consumer
2061,Non consumer
6184,Fruits - Biggest consumer
6142,Fruits - Frequent consumer
4107,Fruits - Frequent consumer
7274,Fruits - Biggest consumer
9336,Non consumer
2958,Fruits - Low consumer
933,Non consumer
5837,Fruits - Frequent consumer
10704,Non consumer
5125,Non consumer
4432,Fruits - Low consumer
5955,Fruits - Frequent consumer
2928,Non consumer
5680,Fruits - Low consumer
10313,Fruits - Low consumer
2557,Fruits - Low consumer
1245,Fruits - Frequent consumer
1519,Fruits - Low consumer
10703,Non consumer
1726,Fruits - Frequent consumer
4459,Fruits - Low consumer
1729,Fruits - Frequent consumer
1517,Fruits - Frequent consumer
2098,Non consumer
9543,Fruits - Frequent consumer
6878,Fruits - Frequent consumer
3310,Fruits - Low consumer
2724,Non consumer
948,Fruits - Frequent consumer
6720,Fruits - Frequent consumer
6202,Fruits - Biggest consumer
2066,Non consumer
9799,Fruits - Frequent consumer
8318,Fruits - Biggest consumer
5642,Fruits - Low consumer
2669,Fruits - Biggest consumer
455,Fruits - Frequent consumer
7683,Fruits - Frequent consumer
3428,Non consumer
7414,Fruits - Low consumer
6354,Fruits - Low consumer
798,Non consumer
8213,Fruits - Low consumer
2488,Fruits - Low consumer
9999,Fruits - Biggest consumer
7617,Fruits - Frequent consumer
615,Fruits - Frequent consumer
2552,Non consumer
194,Non consumer
3645,Fruits - Low consumer
8890,Fruits - Frequent consumer
5049,Non consumer
9973,Fruits - Frequent consumer
7301,Fruits - Frequent consumer
10882,Fruits - Biggest consumer
7030,Non consumer
7422,Fruits - Biggest consumer
3523,Fruits - Frequent consumer
7106,Non consumer
6504,Fruits - Frequent consumer
5067,Fruits - Frequent consumer
4216,Fruits - Biggest consumer
8581,Non consumer
5929,Fruits - Low consumer
3129,Fruits - Low consumer
6528,Fruits - Low consumer
1361,Fruits - Biggest consumer
6932,Fruits - Frequent consumer
7284,Non consumer
1340,Fruits - Biggest consumer
8746,Non consumer
5987,Fruits - Low consumer
3767,Non consumer
3725,Fruits - Frequent consumer
4324,Non consumer
238,Fruits - Biggest consumer
6694,Fruits - Biggest consumer
498,Non consumer
9347,Non consumer
9699,Fruits - Frequent consumer
10664,Fruits - Low consumer
5455,Non consumer
456,Fruits - Frequent consumer
5012,Fruits - Low consumer
7495,Fruits - Frequent consumer
5029,Fruits - Low consumer
10642,Fruits - Low consumer
2106,Fruits - Frequent consumer
10364,Non consumer
5954,Fruits - Frequent consumer
1137,Fruits - Biggest consumer
2541,Fruits - Frequent consumer
1142,Fruits - Frequent consumer
2276,Fruits - Frequent consumer
2807,Fruits - Frequent consumer
6471,Fruits - Low consumer
6131,Fruits - Biggest consumer
6233,Fruits - Frequent consumer
4148,Fruits - Frequent consumer
4947,Fruits - Frequent consumer
3225,Fruits - Frequent consumer
7540,Fruits - Frequent consumer
10648,Fruits - Biggest consumer
1992,Non consumer
7851,Non consumer
8594,Non consumer
7059,Fruits - Biggest consumer
2815,Fruits - Frequent consumer
2416,Fruits - Frequent consumer
7999,Fruits - Frequent consumer
9213,Fruits - Low consumer
9697,Fruits - Frequent consumer
3916,Fruits - Frequent consumer
2021,Fruits - Biggest consumer
1581,Non consumer
564,Fruits - Frequent consumer
6619,Fruits - Low consumer
9081,Fruits - Low consumer
178,Non consumer
916,Fruits - Low consumer
5512,Non consumer
8970,Fruits - Frequent consumer
10581,Fruits - Frequent consumer
5300,Fruits - Frequent consumer
5154,Fruits - Low consumer
8346,Fruits - Frequent consumer
1676,Fruits - Low consumer
9286,Fruits - Frequent consumer
2426,Fruits - Biggest consumer
5172,Non consumer
5562,Fruits - Frequent consumer
3436,Non consumer
3921,Fruits - Low consumer
3403,Fruits - Frequent consumer
22,Fruits - Low consumer
10965,Fruits - Frequent consumer
9426,Non consumer
6605,Fruits - Frequent consumer
3136,Fruits - Frequent consumer
8737,Fruits - Low consumer
11088,Non consumer
716,Non consumer
466,Fruits - Frequent consumer
9135,Fruits - Low consumer
10623,Non consumer
8151,Fruits - Frequent consumer
5140,Non consumer
10160,Non consumer
4945,Fruits - Frequent consumer
10584,Fruits - Biggest consumer
6071,Fruits - Biggest consumer
3386,Fruits - Low consumer
8939,Fruits - Biggest consumer
9925,Fruits - Low consumer
4320,Fruits - Biggest consumer
5389,Fruits - Frequent consumer
6036,Fruits - Biggest consumer
182,Non consumer
203,Fruits - Frequent consumer
11025,Non consumer
10203,Fruits - Frequent consumer
4607,Fruits - Frequent consumer
3711,Fruits - Biggest consumer
3696,Fruits - Low consumer
2532,Fruits - Biggest consumer
9214,Fruits - Low consumer
4943,Fruits - Frequent consumer
35,Fruits - Low consumer
2258,Fruits - Low consumer
4322,Fruits - Frequent consumer
713,Fruits - Frequent consumer
4702,Fruits - Biggest consumer
3281,Fruits - Frequent consumer
702,Fruits - Biggest consumer
2004,Fruits - Biggest consumer
4769,Fruits - Low consumer
4437,Fruits - Frequent consumer
8724,Fruits - Low consumer
10741,Fruits - Frequent consumer
1991,Non consumer
6931,Fruits - Biggest consumer
11096,Fruits - Low consumer
304,Fruits - Low consumer
3665,Fruits - Frequent consumer
10591,Fruits - Frequent consumer
5036,Fruits - Low consumer
5547,Fruits - Frequent consumer
7822,Fruits - Frequent consumer
8541,Fruits - Low consumer
10955,Fruits - Biggest consumer
4368,Fruits - Frequent consumer
9671,Fruits - Low consumer
2256,Non consumer
4279,Fruits - Low consumer
5371,Fruits - Frequent consumer
9240,Non consumer
9460,Fruits - Low consumer
9504,Fruits - Frequent consumer
8692,Fruits - Frequent consumer
448,Fruits - Biggest consumer
8314,Fruits - Biggest consumer
8420,Fruits - Low consumer
3174,Fruits - Frequent consumer
7685,Fruits - Frequent consumer
3179,Fruits - Biggest consumer
9780,Fruits - Frequent consumer
10681,Fruits - Biggest consumer
10232,Fruits - Frequent consumer
4184,Fruits - Low consumer
9120,Fruits - Frequent consumer
891,Non consumer
10381,Non consumer
3525,Non consumer
6818,Non consumer
3526,Non consumer
8181,Fruits - Frequent consumer
1029,Fruits - Frequent consumer
7369,Fruits - Frequent consumer
2574,Fruits - Frequent consumer
8159,Non consumer
1160,Fruits - Low consumer
10242,Non consumer
5253,Fruits - Frequent consumer
5966,Non consumer
5314,Fruits - Low consumer
5081,Non consumer
5123,Fruits - Frequent consumer
5756,Non consumer
8036,Fruits - Low consumer
9058,Fruits - Frequent consumer
5057,Fruits - Biggest consumer
254,Fruits - Low consumer
4179,Fruits - Frequent consumer
3710,Non consumer
7627,Fruits - Biggest consumer
4501,Fruits - Biggest consumer
6424,Fruits - Frequent consumer
3075,Fruits - Frequent consumer
4992,Fruits - Low consumer
5252,Fruits - Frequent consumer
7444,Non consumer
6919,Fruits - Frequent consumer
3537,Fruits - Low consumer
10277,Non consumer
2453,Fruits - Frequent consumer
7972,Fruits - Frequent consumer
895,Fruits - Frequent consumer
1177,Fruits - Low consumer
7141,Fruits - Frequent consumer
7232,Non consumer
8477,Fruits - Low consumer
2457,Fruits - Low consumer
988,Non consumer
7930,Fruits - Frequent consumer
4587,Fruits - Frequent consumer
6682,Fruits - Frequent consumer
6222,Non consumer
10299,Fruits - Biggest consumer
3083,Fruits - Frequent consumer
8953,Non consumer
1503,Fruits - Low consumer
8650,Fruits - Frequent consumer
10862,Fruits - Frequent consumer
2782,Non consumer
6941,Fruits - Frequent consumer
10972,Fruits - Frequent consumer
10708,Fruits - Frequent consumer
6583,Fruits - Frequent consumer
3641,Fruits - Low consumer
10156,Fruits - Biggest consumer
4299,Fruits - Frequent consumer
3469,Fruits - Frequent consumer
5063,Fruits - Frequent consumer
10727,Fruits - Biggest consumer
9624,Fruits - Biggest consumer
5156,Fruits - Biggest consumer
4376,Fruits - Frequent consumer
8923,Fruits - Frequent consumer
8461,Non consumer
6945,Fruits - Frequent consumer
944,Fruits - Biggest consumer
1907,Fruits - Biggest consumer
701,Fruits - Frequent consumer
3856,Fruits - Biggest consumer
4149,Fruits - Biggest consumer
2131,Fruits - Biggest consumer
2942,Fruits - Low consumer
1173,Fruits - Biggest consumer
4381,Fruits - Low consumer
4611,Fruits - Biggest consumer
3376,Fruits - Frequent consumer
4679,Non consumer
10928,Fruits - Low consumer
4248,Fruits - Frequent consumer
6728,Non consumer
6661,Fruits - Biggest consumer
4725,Fruits - Low consumer
3277,Fruits - Low consumer
5555,Fruits - Low consumer
2564,Fruits - Low consumer
946,Fruits - Biggest consumer
3867,Fruits - Biggest consumer
6940,Fruits - Low consumer
55,Non consumer
7093,Fruits - Frequent consumer
5084,Fruits - Biggest consumer
1777,Fruits - Low consumer
8162,Fruits - Low consumer
10826,Fruits - Low consumer
8754,Non consumer
1987,Fruits - Frequent consumer
11007,Non consumer
7426,Fruits - Frequent consumer
9153,Fruits - Biggest consumer
10379,Fruits - Frequent consumer
9204,Fruits - Biggest consumer
3197,Fruits - Biggest consumer
2920,Non consumer
6961,Fruits - Low consumer
4673,Fruits - Frequent consumer
9937,Fruits - Biggest consumer
8779,Fruits - Low consumer
9596,Fruits - Frequent consumer
2891,Fruits - Frequent consumer
4910,Fruits - Biggest consumer
75,Fruits - Frequent consumer
10120,Fruits - Frequent consumer
6327,Fruits - Frequent consumer
10142,Fruits - Frequent consumer
9826,Fruits - Biggest consumer
1501,Fruits - Frequent consumer
10767,Fruits - Frequent consumer
7279,Fruits - Biggest consumer
7230,Non consumer
143,Non consumer
450,Fruits - Frequent consumer
9316,Non consumer
6379,Fruits - Low consumer
9239,Fruits - Low consumer
8315,Fruits - Low consumer
2868,Fruits - Low consumer
10888,Fruits - Frequent consumer
1277,Fruits - Frequent consumer
9977,Fruits - Frequent consumer
10196,Fruits - Biggest consumer
6384,Fruits - Frequent consumer
8029,Fruits - Frequent consumer
968,Fruits - Frequent consumer
6988,Fruits - Biggest consumer
4472,Non consumer
6991,Fruits - Frequent consumer
3336,Non consumer
4301,Fruits - Low consumer
1940,Fruits - Low consumer
1272,Fruits - Biggest consumer
1388,Fruits - Frequent consumer
1044,Fruits - Frequent consumer
6969,Fruits - Frequent consumer
10479,Fruits - Frequent consumer
3619,Fruits - Frequent consumer
1715,Fruits - Low consumer
10159,Fruits - Biggest consumer
1463,Fruits - Low consumer
5114,Fruits - Frequent consumer
4990,Non consumer
4329,Non consumer
10936,Fruits - Biggest consumer
4692,Non consumer
7212,Non consumer
6086,Fruits - Frequent consumer
437,Fruits - Biggest consumer
11171,Fruits - Low consumer
11101,Fruits - Frequent consumer
5329,Non consumer
610,Fruits - Low consumer
9384,Fruits - Frequent consumer
5956,Fruits - Low consumer
10430,Fruits - Frequent consumer
7875,Non consumer
7072,Fruits - Biggest consumer
6255,Fruits - Frequent consumer
6516,Non consumer
5564,Fruits - Biggest consumer
5682,Fruits - Frequent consumer
7458,Fruits - Low consumer
5237,Fruits - Low consumer
7761,Fruits - Frequent consumer
5278,Fruits - Frequent consumer
3560,Fruits - Frequent consumer
7235,Fruits - Frequent consumer
10548,Fruits - Frequent consumer
2281,Fruits - Low consumer
4073,Fruits - Biggest consumer
6974,Fruits - Frequent consumer
7938,Fruits - Frequent consumer
7094,Fruits - Biggest consumer
3667,Fruits - Biggest consumer
7723,Fruits - Biggest consumer
3870,Fruits - Frequent consumer
4012,Fruits - Frequent consumer
5909,Fruits - Frequent consumer
10470,Fruits - Low consumer
6488,Non consumer
10270,Fruits - Frequent consumer
6887,Fruits - Frequent consumer
6406,Fruits - Biggest consumer
7573,Fruits - Low consumer
4508,Fruits - Frequent consumer
221,Fruits - Low consumer
5331,Fruits - Biggest consumer
1911,Fruits - Biggest consumer
20,Fruits - Frequent consumer
8786,Fruits - Frequent consumer
10582,Fruits - Frequent consumer
1915,Fruits - Biggest consumer
8897,Fruits - Frequent consumer
2371,Fruits - Low consumer
4303,Fruits - Low consumer
6825,Non consumer
1072,Non consumer
4964,Fruits - Frequent consumer
2461,Fruits - Low consumer
10736,Non consumer
3194,Fruits - Frequent consumer
10839,Fruits - Frequent consumer
49,Fruits - Low consumer
4290,Fruits - Low consumer
10219,Fruits - Low consumer
4211,Fruits - Frequent consumer
1135,Fruits - Low consumer
6299,Fruits - Biggest consumer
10846,Fruits - Frequent consumer
347,Fruits - Frequent consumer
6543,Fruits - Biggest consumer
10446,Fruits - Frequent consumer
3479,Fruits - Frequent consumer
11075,Fruits - Low consumer
4442,Fruits - Frequent consumer
199,Fruits - Low consumer
6722,Fruits - Frequent consumer
796,Fruits - Biggest consumer
3749,Fruits - Biggest consumer
8523,Fruits - Low consumer
310,Fruits - Frequent consumer
8629,Fruits - Low consumer
236,Fruits - Frequent consumer
9930,Fruits - Biggest consumer
3483,Fruits - Frequent consumer
4599,Non consumer
7326,Fruits - Low consumer
7352,Fruits - Frequent consumer
2350,Fruits - Biggest consumer
9145,Fruits - Frequent consumer
2964,Fruits - Frequent consumer
5585,Fruits - Low consumer
9687,Fruits - Biggest consumer
3732,Non consumer
6303,Fruits - Biggest consumer
11176,Fruits - Frequent consumer
2986,Fruits - Low consumer
7462,Non consumer
3900,Fruits - Frequent consumer
7034,Fruits - Frequent consumer
9493,Fruits - Biggest consumer
1143,Fruits - Frequent consumer
1,Fruits - Frequent consumer
3855,Fruits - Low consumer
5536,Fruits - Frequent consumer
5989,Fruits - Biggest consumer
9499,Fruits - Frequent consumer
6768,Fruits - Low consumer
2150,Fruits - Frequent consumer
6646,Non consumer
4887,Fruits - Frequent consumer
8560,Fruits - Frequent consumer
3321,Fruits - Frequent consumer
11003,Fruits - Frequent consumer
10402,Fruits - Low consumer
9904,Fruits - Biggest consumer
6141,Fruits - Frequent consumer
5687,Fruits - Biggest consumer
10856,Non consumer
5121,Fruits - Frequent consumer
4186,Fruits - Frequent consumer
368,Fruits - Biggest consumer
3312,Fruits - Frequent consumer
11121,Fruits - Frequent consumer
5332,Fruits - Biggest consumer
5848,Fruits - Biggest consumer
10343,Fruits - Biggest consumer
5935,Fruits - Frequent consumer
2895,Fruits - Low consumer
10262,Fruits - Low consumer
7848,Fruits - Low consumer
9477,Non consumer
4856,Fruits - Biggest consumer
7186,Non consumer
5794,Non consumer
1456,Fruits - Biggest consumer
4877,Non consumer
425,Fruits - Biggest consumer
3007,Fruits - Low consumer
1031,Fruits - Frequent consumer
4297,Fruits - Low consumer
807,Fruits - Low consumer
9553,Fruits - Low consumer
4271,Fruits - Frequent consumer
4120,Fruits - Frequent consumer
2036,Fruits - Frequent consumer
115,Fruits - Frequent consumer
4259,Non consumer
8687,Fruits - Biggest consumer
2447,Fruits - Frequent consumer
10140,Non consumer
9353,Fruits - Biggest consumer
3623,Non consumer
738,Fruits - Frequent consumer
7631,Fruits - Biggest consumer
4789,Fruits - Frequent consumer
773,Fruits - Low consumer
10602,Fruits - Frequent consumer
1446,Fruits - Biggest consumer
3270,Fruits - Frequent consumer
8443,Fruits - Frequent consumer
9653,Fruits - Low consumer
8916,Fruits - Low consumer
8017,Non consumer
5830,Fruits - Biggest consumer
4597,Fruits - Biggest consumer
7023,Fruits - Low consumer
8086,Non consumer
8825,Fruits - Frequent consumer
2930,Fruits - Biggest consumer
1928,Fruits - Low consumer
7108,Fruits - Frequent consumer
10925,Fruits - Frequent consumer
9960,Non consumer
8800,Fruits - Frequent consumer
9224,Fruits - Frequent consumer
5519,Fruits - Biggest consumer
5046,Fruits - Biggest consumer
7037,Fruits - Biggest consumer
905,Fruits - Frequent consumer
8624,Fruits - Frequent consumer
8945,Non consumer
6445,Fruits - Biggest consumer
2727,Fruits - Frequent consumer
6404,Fruits - Frequent consumer
11074,Fruits - Biggest consumer
10150,Fruits - Frequent consumer
1968,Fruits - Low consumer
6534,Non consumer
9485,Fruits - Frequent consumer
7053,Fruits - Frequent consumer
4654,Fruits - Frequent consumer
9760,Non consumer
1048,Fruits - Low consumer
10619,Fruits - Frequent consumer
9308,Fruits - Biggest consumer
10505,Fruits - Frequent consumer
8362,Fruits - Frequent consumer
2625,Fruits - Frequent consumer
4637,Fruits - Biggest consumer
9972,Non consumer
4483,Fruits - Frequent consumer
4487,Fruits - Frequent consumer
4988,Fruits - Frequent consumer
8931,Fruits - Biggest consumer
5871,Fruits - Frequent consumer
2008,Fruits - Frequent consumer
3139,Fruits - Biggest consumer
10037,Fruits - Biggest consumer
10673,Fruits - Biggest consumer
5303,Non consumer
538,Fruits - Frequent consumer
7922,Non consumer
5692,Fruits - Low consumer
4843,Fruits - Frequent consumer
6383,Non consumer
1628,Fruits - Frequent consumer
1204,Non consumer
3673,Fruits - Frequent consumer
760,Fruits - Frequent consumer
8957,Fruits - Biggest consumer
4128,Fruits - Frequent consumer
6810,Fruits - Biggest consumer
5386,Fruits - Frequent consumer
8700,Fruits - Frequent consumer
3202,Non consumer
1328,Fruits - Frequent consumer
8405,Fruits - Frequent consumer
6515,Fruits - Low consumer
2882,Fruits - Frequent consumer
7574,Non consumer
6387,Non consumer
5320,Fruits - Frequent consumer
5048,Fruits - Frequent consumer
8146,Non consumer
10031,Fruits - Low consumer
5748,Fruits - Frequent consumer
2134,Fruits - Frequent consumer
1523,Fruits - Low consumer
9665,Fruits - Low consumer
4640,Fruits - Biggest consumer
3635,Non consumer
3547,Fruits - Frequent consumer
2456,Fruits - Low consumer
5633,Fruits - Frequent consumer
7801,Fruits - Biggest consumer
10489,Fruits - Frequent consumer
7011,Fruits - Low consumer
2620,Non consumer
3933,Fruits - Frequent consumer
10981,Fruits - Biggest consumer
1734,Non consumer
10995,Fruits - Frequent consumer
6357,Fruits - Frequent consumer
9209,Fruits - Biggest consumer
10286,Fruits - Frequent consumer
2611,Fruits - Biggest consumer
1600,Fruits - Low consumer
3308,Fruits - Frequent consumer
5407,Fruits - Frequent consumer
2166,Fruits - Low consumer
3955,Fruits - Low consumer
6634,Fruits - Low consumer
3056,Fruits - Frequent consumer
5718,Fruits - Biggest consumer
6872,Fruits - Low consumer
8164,Fruits - Biggest consumer
4580,Fruits - Frequent consumer
9305,Fruits - Frequent consumer
453,Non consumer
8545,Fruits - Frequent consumer
9850,Fruits - Frequent consumer
7378,Fruits - Frequent consumer
7646,Fruits - Biggest consumer
1640,Non consumer
5184,Fruits - Low consumer
8492,Non consumer
11188,Fruits - Frequent consumer
1212,Fruits - Frequent consumer
9097,Fruits - Frequent consumer
