account_id,age-group
8932,Adult
10236,Adult
6340,Young
10089,Adult
2227,Mature
10992,Mature
5304,Adult
309,Mature
3406,Mature
2661,Mature
3153,Mature
10264,Adult
1184,Mature
4200,Adult
9396,Adult
2387,Mature
6690,Mature
1225,Mature
9703,Adult
291,Adult
4557,Adult
2379,Mature
5726,Adult
3066,Adult
6336,Mature
10967,Mature
2304,Mature
3445,Mature
7828,Adult
3762,Young
4391,Mature
4669,Adult
10144,Adult
8652,Senior
1672,Adult
8962,Adult
9974,Adult
10983,Mature
8148,Mature
10102,Mature
4697,Mature
9262,Young
7254,Adult
4543,Adult
4927,Adult
10451,Mature
2926,Mature
2874,Young
9738,Young
7119,Adult
3924,Mature
5827,Mature
5596,Mature
10812,Adult
1717,Young
9491,Young
9274,Mature
6609,Mature
6963,Senior
4440,Mature
1379,Young
10032,Adult
2826,Mature
6320,Adult
3050,Mature
231,Mature
2392,Adult
9478,Young
113,Mature
1802,Adult
520,Adult
8275,Mature
9750,Mature
2607,Mature
7214,Mature
5835,Adult
3896,Young
10350,Mature
7786,Young
2861,Adult
663,Young
10675,Mature
2521,Adult
9592,Adult
10151,Mature
7381,Mature
4099,Adult
9560,Mature
1150,Senior
10172,Young
11191,Young
9707,Adult
6245,Mature
8234,Adult
1411,Mature
8553,Mature
1826,Adult
8842,Adult
11030,Adult
2579,Mature
175,Young
9185,Mature
11056,Adult
9365,Adult
6201,Adult
2061,Mature
6184,Adult
6142,Senior
4107,Senior
7274,Mature
9336,Adult
2958,Adult
933,Adult
5837,Mature
10704,Adult
5125,Mature
4432,Adult
5955,Mature
2928,Adult
5680,Young
10313,Adult
2557,Adult
1245,Mature
1519,Adult
10703,Adult
1726,Adult
4459,Young
1729,Mature
1517,Adult
2098,Adult
9543,Young
6878,Mature
3310,Adult
2724,Adult
948,Adult
6720,Mature
6202,Mature
2066,Mature
9799,Mature
8318,Adult
5642,Adult
2669,Young
455,Senior
7683,Mature
3428,Young
7414,Adult
6354,Young
798,Young
8213,Adult
2488,Mature
9999,Mature
7617,Adult
615,Mature
2552,Mature
194,Mature
3645,Adult
8890,Adult
5049,Adult
9973,Mature
7301,Adult
10882,Adult
7030,Mature
7422,Young
3523,Mature
7106,Senior
6504,Adult
5067,Young
4216,Adult
8581,Adult
5929,Adult
3129,Adult
6528,Adult
1361,Adult
6932,Senior
7284,Mature
1340,Young
8746,Young
5987,Young
3767,Mature
3725,Mature
4324,Young
238,Mature
6694,Mature
498,Adult
9347,Mature
9699,Mature
10664,Mature
5455,Adult
456,Young
5012,Young
7495,Senior
5029,Senior
10642,Young
2106,Adult
10364,Mature
5954,Adult
1137,Mature
2541,Adult
1142,Mature
2276,Mature
2807,Adult
6471,Adult
6131,Adult
6233,Adult
4148,Adult
4947,Mature
3225,Young
7540,Mature
10648,Adult
1992,Mature
7851,Mature
8594,Mature
7059,Mature
2815,Adult
2416,Adult
7999,Mature
9213,Adult
9697,Mature
3916,Adult
2021,Adult
1581,Adult
564,Adult
6619,Adult
9081,Young
178,Mature
916,Adult
5512,Adult
8970,Adult
10581,Adult
5300,Adult
5154,Adult
8346,Adult
1676,Adult
9286,Mature
2426,Mature
5172,Adult
5562,Adult
3436,Adult
3921,Mature
3403,Mature
22,Adult
10965,Mature
9426,Mature
6605,Senior
3136,Mature
8737,Adult
11088,Adult
716,Mature
466,Senior
9135,Mature
10623,Mature
8151,Young
5140,Young
10160,Mature
4945,Mature
10584,Adult
6071,Young
3386,Young
8939,Mature
9925,Adult
4320,Adult
5389,Mature
6036,Mature
182,Senior
203,Adult
11025,Mature
10203,Young
4607,Mature
3711,Senior
3696,Mature
2532,Young
9214,Young
4943,Mature
35,Young
2258,Young
4322,Mature
713,Adult
4702,Mature
3281,Mature
702,Adult
2004,Adult
4769,Adult
4437,Mature
8724,Adult
10741,Mature
1991,Mature
6931,Mature
11096,Mature
304,Adult
3665,Adult
10591,Adult
5036,Young
5547,Adult
7822,Adult
8541,Young
10955,Mature
4368,Adult
9671,Mature
2256,Adult
4279,Mature
5371,Young
9240,Adult
9460,Mature
9504,Mature
8692,Mature
448,Adult
8314,Adult
8420,Adult
3174,Mature
7685,Adult
3179,Adult
9780,Adult
10681,Adult
10232,Mature
4184,Mature
9120,Mature
891,Mature
10381,Adult
3525,Adult
6818,Adult
3526,Mature
8181,Adult
1029,Adult
7369,Adult
2574,Adult
8159,Mature
1160,Adult
10242,Mature
5253,Mature
5966,Adult
5314,Mature
5081,Mature
5123,Mature
5756,Adult
8036,Adult
9058,Mature
5057,Mature
254,Mature
4179,Mature
3710,Young
7627,Adult
4501,Mature
6424,Adult
3075,Adult
4992,Adult
5252,Adult
7444,Adult
6919,Adult
3537,Adult
10277,Mature
2453,Mature
7972,Mature
895,Senior
1177,Mature
7141,Young
7232,Adult
8477,Mature
2457,Adult
988,Mature
7930,Adult
4587,Senior
6682,Adult
6222,Mature
10299,Adult
3083,Adult
8953,Mature
1503,Adult
8650,Adult
10862,Mature
2782,Mature
6941,Adult
10972,Mature
10708,Adult
6583,Mature
3641,Adult
10156,Adult
4299,Mature
3469,Adult
5063,Adult
10727,Adult
9624,Mature
5156,Adult
4376,Mature
8923,Adult
8461,Mature
6945,Mature
944,Mature
1907,Mature
701,Adult
3856,Mature
4149,Senior
2131,Mature
2942,Mature
1173,Senior
4381,Adult
4611,Adult
3376,Adult
4679,Adult
10928,Mature
4248,Mature
6728,Young
6661,Adult
4725,Mature
3277,Mature
5555,Adult
2564,Mature
946,Mature
3867,Senior
6940,Mature
55,Mature
7093,Young
5084,Adult
1777,Adult
8162,Mature
10826,Mature
8754,Adult
1987,Young
11007,Mature
7426,Adult
9153,Mature
10379,Mature
9204,Adult
3197,Adult
2920,Adult
6961,Adult
4673,Mature
9937,Adult
8779,Young
9596,Adult
2891,Mature
4910,Mature
75,Adult
10120,Mature
6327,Mature
10142,Adult
9826,Adult
1501,Adult
10767,Young
7279,Adult
7230,Mature
143,Adult
450,Mature
9316,Mature
6379,Mature
9239,Mature
8315,Young
2868,Mature
10888,Mature
1277,Mature
9977,Adult
10196,Adult
6384,Adult
8029,Young
968,Mature
6988,Young
4472,Adult
6991,Mature
3336,Senior
4301,Adult
1940,Young
1272,Mature
1388,Adult
1044,Mature
6969,Adult
10479,Adult
3619,Mature
1715,Adult
10159,Adult
1463,Mature
5114,Mature
4990,Mature
4329,Young
10936,Mature
4692,Adult
7212,Mature
6086,Mature
437,Adult
11171,Mature
11101,Young
5329,Mature
610,Mature
9384,Adult
5956,Senior
10430,Adult
7875,Mature
7072,Adult
6255,Mature
6516,Young
5564,Adult
5682,Mature
7458,Mature
5237,Mature
7761,Adult
5278,Mature
3560,Mature
7235,Adult
10548,Young
2281,Adult
4073,Mature
6974,Adult
7938,Mature
7094,Adult
3667,Adult
7723,Adult
3870,Adult
4012,Adult
5909,Mature
10470,Adult
6488,Mature
10270,Adult
6887,Mature
6406,Young
7573,Adult
4508,Mature
221,Mature
5331,Adult
1911,Young
20,Mature
8786,Mature
10582,Adult
1915,Mature
8897,Mature
2371,Adult
4303,Mature
6825,Mature
1072,Mature
4964,Mature
2461,Mature
10736,Adult
3194,Adult
10839,Adult
49,Adult
4290,Adult
10219,Adult
4211,Young
1135,Mature
6299,Mature
10846,Adult
347,Adult
6543,Senior
10446,Mature
3479,Mature
11075,Adult
4442,Mature
199,Mature
6722,Mature
796,Mature
3749,Adult
8523,Mature
310,Adult
8629,Mature
236,Mature
9930,Senior
3483,Mature
4599,Adult
7326,Adult
7352,Mature
2350,Adult
9145,Adult
2964,Adult
5585,Adult
9687,Adult
3732,Mature
6303,Young
11176,Adult
2986,Adult
7462,Mature
3900,Adult
7034,Adult
9493,Adult
1143,Adult
1,Mature
3855,Mature
5536,Mature
5989,Mature
9499,Mature
6768,Mature
2150,Mature
6646,Young
4887,Adult
8560,Young
3321,Mature
11003,Adult
10402,Mature
9904,Mature
6141,Adult
5687,Adult
10856,Adult
5121,Adult
4186,Mature
368,Adult
3312,Young
11121,Adult
5332,Mature
5848,Adult
10343,Young
5935,Mature
2895,Mature
10262,Adult
7848,Adult
9477,Mature
4856,Mature
7186,Mature
5794,Adult
1456,Adult
4877,Adult
425,Young
3007,Mature
1031,Young
4297,Adult
807,Adult
9553,Young
4271,Young
4120,Adult
2036,Adult
115,Mature
4259,Young
8687,Adult
2447,Adult
10140,Adult
9353,Mature
3623,Adult
738,Adult
7631,Adult
4789,Mature
773,Adult
10602,Adult
1446,Mature
3270,Adult
8443,Adult
9653,Adult
8916,Adult
8017,Adult
5830,Adult
4597,Adult
7023,Mature
8086,Mature
8825,Mature
2930,Adult
1928,Adult
7108,Mature
10925,Adult
9960,Young
8800,Senior
9224,Adult
5519,Mature
5046,Mature
7037,Adult
905,Young
8624,Mature
8945,Adult
6445,Mature
2727,Adult
6404,Adult
11074,Adult
10150,Mature
1968,Adult
6534,Adult
9485,Young
7053,Mature
4654,Young
9760,Mature
1048,Adult
10619,Young
9308,Mature
10505,Mature
8362,Adult
2625,Mature
4637,Mature
9972,Mature
4483,Young
4487,Adult
4988,Senior
8931,Young
5871,Adult
2008,Adult
3139,Adult
10037,Young
10673,Adult
5303,Adult
538,Young
7922,Mature
5692,Young
4843,Mature
6383,Adult
1628,Adult
1204,Adult
3673,Adult
760,Adult
8957,Mature
4128,Mature
6810,Adult
5386,Mature
8700,Young
3202,Young
1328,Adult
8405,Adult
6515,Adult
2882,Adult
7574,Adult
6387,Adult
5320,Adult
5048,Adult
8146,Adult
10031,Adult
5748,Mature
2134,Mature
1523,Adult
9665,Mature
4640,Mature
3635,Mature
3547,Adult
2456,Adult
5633,Adult
7801,Mature
10489,Adult
7011,Adult
2620,Adult
3933,Adult
10981,Young
1734,Mature
10995,Young
6357,Mature
9209,Adult
10286,Mature
2611,Mature
1600,Mature
3308,Mature
5407,Mature
2166,Mature
3955,Mature
6634,Adult
3056,Adult
5718,Mature
6872,Adult
8164,Adult
4580,Adult
9305,Adult
453,Mature
8545,Mature
9850,Adult
7378,Adult
7646,Young
1640,Mature
5184,Young
8492,Adult
11188,Mature
1212,Adult
9097,Mature
10473,Mature
7962,Young
9984,Adult
5527,Young
6374,Mature
7453,Mature
8952,Mature
241,Mature
8975,Mature
6119,Mature
5236,Adult
5723,Adult
1710,Adult
1970,Mature
5313,Adult
10634,Mature
7010,Mature
8562,Adult
3158,Adult
4436,Adult
5287,Adult
2445,Adult
6059,Mature
4550,Mature
4240,Adult
8911,Mature
3706,Adult
3628,Young
10175,Mature
8985,Mature
5204,Adult
9220,Adult
9888,Adult
5263,Adult
1020,Adult
9503,Adult
10613,Mature
67,Adult
6019,Adult
5863,Mature
3717,Mature
6730,Mature
10749,Young
4998,Mature
6287,Young
5985,Mature
4754,Mature
4002,Mature
8870,Young
966,Mature
4767,Mature
9725,Mature
4475,Mature
5740,Adult
5731,Adult
7290,Young
3846,Adult
8104,Mature
4507,Mature
11013,Young
4491,Mature
3759,Mature
1162,Young
2055,Adult
10766,Mature
4415,Mature
3005,Young
2223,Mature
4817,Mature
2875,Adult
10536,Adult
11112,Mature
3807,Mature
9197,Mature
10832,Mature
6421,Mature
4207,Adult
577,Adult
10855,Mature
3081,Adult
3535,Mature
247,Adult
8707,Mature
9523,Adult
6072,Adult
6295,Adult
10914,Adult
1509,Mature
5577,Adult
7348,Mature
1127,Adult
1833,Adult
4944,Mature
9080,Adult
6466,Mature
9964,Adult
4790,Mature
10245,Young
1109,Adult
6001,Adult
5538,Adult
10552,Adult
1545,Young
7409,Adult
4444,Adult
146,Mature
6271,Mature
10065,Adult
4741,Adult
246,Mature
375,Mature
1524,Adult
10022,Adult
7451,Mature
11010,Young
4356,Adult
3885,Adult
1175,Adult
880,Mature
2320,Adult
850,Mature
4713,Adult
675,Adult
5025,Adult
2308,Mature
5995,Mature
6749,Mature
1010,Adult
8977,Young
4756,Mature
3412,Mature
606,Mature
5961,Adult
2975,Adult
2894,Young
7613,Adult
10542,Mature
8015,Mature
10617,Young
11166,Mature
849,Mature
523,Young
4066,Adult
8414,Mature
819,Senior
4961,Adult
749,Adult
5430,Mature
7755,Mature
10525,Young
1453,Senior
8310,Mature
10710,Adult
5031,Adult
2613,Mature
213,Mature
967,Adult
1077,Adult
7959,Mature
640,Mature
4252,Mature
8432,Mature
6218,Mature
6905,Young
5922,Adult
3598,Adult
6116,Mature
6263,Mature
10486,Senior
2410,Adult
193,Young
3363,Adult
8278,Young
10660,Mature
8686,Adult
1604,Mature
5907,Mature
10669,Adult
2918,Adult
5735,Young
359,Mature
8387,Mature
1829,Mature
3839,Mature
9392,Adult
2292,Young
10466,Mature
9855,Mature
4088,Mature
5231,Adult
590,Adult
8732,Adult
2315,Mature
3515,Mature
2245,Adult
6283,Mature
2246,Mature
6606,Adult
5545,Adult
7342,Mature
837,Adult
9500,Mature
3602,Mature
234,Adult
2995,Mature
1118,Mature
7789,Mature
3068,Young
8955,Mature
945,Mature
5644,Mature
7192,Mature
2324,Adult
697,Adult
3439,Adult
1506,Adult
232,Mature
8876,Mature
4500,Young
9739,Mature
10395,Young
1176,Adult
1627,Mature
938,Adult
2740,Mature
257,Mature
4058,Mature
7736,Young
8210,Adult
833,Mature
6230,Adult
7325,Young
1307,Adult
1502,Adult
6211,Adult
843,Adult
4174,Mature
9757,Adult
6918,Young
286,Mature
11086,Young
1921,Mature
4138,Mature
7718,Senior
1291,Adult
6862,Adult
4136,Young
803,Mature
4298,Adult
10833,Adult
9606,Mature
8534,Mature
5153,Mature
961,Adult
5011,Mature
6653,Adult
9094,Mature
810,Adult
5493,Adult
2147,Adult
5107,Adult
3979,Adult
6049,Adult
8147,Mature
1857,Mature
3910,Adult
5207,Mature
11114,Adult
5429,Senior
9400,Mature
1740,Senior
7488,Mature
195,Adult
635,Mature
7527,Mature
10319,Adult
2296,Adult
10637,Mature
2931,Adult
907,Adult
3698,Adult
9516,Adult
679,Mature
7384,Mature
5043,Mature
5267,Adult
339,Adult
2516,Adult
9010,Adult
378,Adult
4808,Mature
5068,Adult
7628,Adult
7128,Adult
2811,Mature
3551,Mature
1663,Adult
5543,Mature
1577,Senior
10641,Adult
5336,Adult
6024,Mature
1878,Young
3099,Adult
6055,Adult
5841,Mature
3972,Adult
4394,Mature
5758,Adult
6658,Adult
4603,Mature
8427,Mature
10260,Mature
7143,Mature
8789,Young
6197,Mature
4554,Mature
4937,Adult
1920,Adult
8749,Young
1650,Mature
10377,Mature
9206,Mature
10971,Adult
6398,Adult
9212,Mature
7937,Adult
839,Adult
4246,Adult
158,Senior
4832,Adult
5621,Adult
1945,Mature
5147,Senior
2535,Adult
11039,Adult
9495,Adult
9635,Adult
2173,Mature
942,Adult
9386,Mature
5510,Adult
873,Mature
2253,Young
5181,Adult
979,Adult
10390,Mature
4698,Adult
7793,Adult
1745,Mature
10590,Mature
5080,Young
8369,Young
5232,Mature
2407,Adult
3834,Mature
7912,Adult
7712,Senior
1065,Mature
7275,Adult
1343,Mature
1384,Young
9967,Adult
6181,Mature
10507,Adult
2674,Mature
2698,Adult
3231,Adult
4096,Mature
10476,Mature
5948,Adult
9140,Mature
10258,Mature
5675,Mature
4743,Adult
8805,Mature
1542,Adult
6770,Young
8773,Adult
10420,Mature
7514,Mature
793,Adult
10909,Senior
8702,Adult
4791,Adult
2963,Adult
8216,Adult
8140,Adult
10146,Adult
5289,Adult
2587,Adult
4405,Mature
8663,Adult
2589,Adult
3421,Mature
10490,Adult
4094,Mature
9958,Adult
2534,Mature
4188,Mature
6613,Adult
10827,Mature
5491,Mature
8402,Mature
8783,Mature
10010,Mature
618,Adult
9121,Adult
361,Adult
4310,Senior
2678,Young
6376,Adult
524,Mature
10341,Senior
5654,Adult
4098,Adult
5824,Adult
7000,Adult
2561,Mature
5229,Adult
4086,Mature
2428,Adult
8254,Adult
2836,Adult
8418,Mature
1362,Adult
7152,Adult
10033,Adult
9349,Young
274,Adult
3388,Mature
922,Adult
8588,Mature
2518,Young
574,Mature
3220,Adult
5967,Mature
1183,Mature
6856,Adult
4530,Senior
1553,Senior
4682,Mature
8204,Adult
5221,Mature
1232,Adult
1927,Adult
5788,Adult
6652,Mature
6246,Mature
5975,Mature
6875,Mature
4399,Adult
4042,Adult
2157,Adult
10133,Adult
2525,Adult
8233,Mature
9483,Mature
2945,Mature
10403,Adult
5074,Young
10524,Mature
4690,Mature
7521,Mature
7196,Mature
4406,Adult
9672,Adult
4864,Adult
4706,Mature
4070,Adult
25,Mature
3697,Mature
217,Mature
4220,Adult
5286,Young
9559,Mature
2849,Adult
7787,Mature
3102,Adult
5868,Adult
8370,Adult
9988,Adult
2939,Adult
5529,Senior
9743,Mature
5763,Adult
3478,Adult
7494,Mature
1763,Young
7250,Adult
2005,Young
10770,Mature
6885,Adult
2072,Adult
9463,Mature
6318,Young
4093,Adult
5751,Adult
3340,Adult
3594,Adult
3584,Mature
3643,Adult
851,Adult
7706,Adult
3967,Adult
10128,Mature
486,Young
9,Adult
9451,Mature
9264,Young
3865,Adult
2853,Adult
1490,Mature
6310,Adult
10380,Adult
3887,Adult
4278,Adult
8643,Adult
1998,Adult
10795,Adult
11110,Adult
2408,Adult
202,Senior
7998,Mature
830,Young
3536,Mature
6050,Adult
125,Mature
3463,Adult
2804,Adult
3745,Young
9771,Young
451,Young
10530,Mature
1079,Adult
8920,Mature
6678,Young
3852,Mature
528,Adult
73,Mature
5589,Mature
10212,Young
6365,Young
5636,Mature
591,Mature
2217,Adult
2544,Mature
7725,Mature
8091,Mature
7321,Mature
5462,Adult
7791,Mature
955,Mature
4037,Adult
6642,Mature
2793,Adult
5424,Adult
879,Adult
9530,Young
4828,Mature
10699,Young
1497,Mature
7476,Mature
4390,Mature
10478,Mature
1081,Mature
4261,Senior
9916,Mature
5350,Young
8135,Young
8685,Adult
4967,Mature
2130,Adult
9298,Senior
8175,Young
6257,Adult
3790,Mature
9952,Senior
3503,Mature
5223,Mature
4608,Young
1626,Adult
4764,Mature
2471,Mature
5892,Adult
2612,Young
4971,Mature
5185,Mature
10069,Young
2262,Mature
1131,Mature
1041,Adult
24,Mature
3409,Young
7022,Adult
7943,Adult
5272,Mature
5453,Mature
2565,Mature
800,Mature
11092,Mature
5062,Mature
8969,Adult
4656,Young
4480,Adult
9971,Mature
6729,Young
1773,Adult
9242,Young
1764,Adult
6215,Adult
10099,Young
5423,Adult
940,Young
3011,Mature
3298,Mature
8286,Mature
9668,Adult
5120,Adult
6097,Mature
7019,Mature
7408,Mature
8041,Adult
252,Mature
9986,Adult
3276,Adult
3859,Senior
3570,Adult
3783,Mature
10207,Adult
10906,Senior
3427,Mature
5209,Mature
10711,Senior
10785,Adult
2814,Adult
6866,Adult
1665,Mature
6575,Adult
3829,Adult
3091,Adult
10141,Mature
5177,Adult
7005,Adult
6409,Mature
7485,Mature
8079,Adult
8395,Mature
10352,Mature
4931,Adult
13,Senior
1834,Adult
2285,Mature
2295,Mature
1378,Adult
2781,Adult
1165,Mature
1404,Mature
6457,Adult
2639,Mature
8299,Young
6437,Young
6912,Mature
7327,Mature
5299,Adult
4127,Mature
8143,Young
1964,Mature
3690,Young
3433,Mature
3389,Adult
4712,Young
1170,Adult
6347,Adult
4065,Adult
8230,Adult
1215,Adult
5939,Adult
2156,Mature
7788,Adult
10323,Mature
7947,Adult
1891,Adult
2570,Mature
9256,Adult
295,Young
7397,Mature
6349,Young
10790,Young
10398,Adult
2431,Young
550,Mature
1890,Adult
10742,Adult
10356,Mature
4676,Mature
8852,Adult
3565,Mature
5294,Young
1958,Adult
7349,Adult
8799,Young
1351,Mature
1045,Mature
7732,Adult
8070,Adult
477,Young
7832,Mature
2202,Adult
7396,Mature
4055,Young
10340,Young
10091,Mature
7629,Adult
10640,Adult
3498,Adult
6742,Adult
1172,Adult
569,Young
4686,Mature
1381,Adult
2634,Adult
10905,Mature
1744,Mature
1000,Mature
3828,Mature
8605,Mature
10304,Mature
4351,Mature
10129,Mature
2499,Mature
10092,Mature
7500,Mature
5796,Mature
10556,Mature
1064,Adult
48,Mature
7610,Adult
263,Senior
10814,Senior
9710,Adult
9292,Mature
10250,Senior
7881,Senior
5847,Adult
737,Mature
3571,Mature
7807,Adult
3878,Adult
5092,Mature
2154,Adult
5394,Adult
3798,Mature
3524,Adult
5247,Mature
5883,Adult
2118,Mature
8812,Adult
6616,Adult
2797,Adult
4328,Young
9167,Mature
10560,Adult
2631,Adult
8312,Mature
5534,Adult
5093,Adult
7592,Senior
8895,Young
8584,Mature
2694,Mature
8910,Mature
7433,Young
164,Adult
10477,Adult
2681,Young
5150,Adult
5283,Adult
9645,Mature
10678,Mature
7261,Adult
9648,Mature
2870,Adult
8008,Adult
1513,Adult
6173,Adult
1419,Mature
9150,Mature
7960,Mature
1250,Adult
9905,Mature
10691,Mature
7002,Mature
2952,Adult
8439,Mature
762,Adult
2831,Adult
6977,Adult
6289,Mature
4168,Mature
8397,Mature
9284,Mature
6237,Mature
3130,Mature
1619,Mature
1990,Adult
5513,Mature
269,Mature
8093,Adult
10513,Young
10177,Mature
2549,Adult
5782,Adult
10057,Mature
10307,Mature
8566,Mature
2415,Mature
5684,Adult
8334,Adult
9166,Mature
1440,Adult
78,Adult
5441,Mature
5302,Young
4687,Mature
1087,Adult
6859,Young
9860,Mature
7129,Mature
5866,Adult
10521,Adult
7393,Adult
7849,Adult
332,Mature
9847,Mature
531,Mature
9576,Adult
6906,Mature
7419,Mature
3170,Mature
8527,Mature
7872,Adult
9931,Mature
10595,Young
4609,Mature
5010,Young
4427,Young
11148,Adult
1168,Adult
9595,Mature
10163,Young
2886,Adult
6710,Mature
5316,Adult
9029,Adult
521,Young
1459,Mature
10241,Adult
1630,Adult
3254,Adult
9064,Adult
3678,Adult
4227,Mature
9467,Young
8486,Adult
2186,Adult
3286,Mature
8602,Mature
3722,Adult
6715,Senior
4796,Mature
9612,Young
3766,Mature
1399,Mature
1570,Mature
3426,Adult
3074,Young
8341,Adult
5180,Mature
6461,Adult
7679,Young
10702,Young
7505,Mature
5113,Adult
10858,Adult
2961,Adult
2747,Young
3010,Young
5790,Young
6892,Mature
1743,Adult
3578,Mature
8462,Adult
5558,Mature
4619,Senior
8780,Mature
10789,Mature
10779,Adult
5896,Young
2337,Adult
10951,Mature
544,Mature
17,Adult
10680,Young
3265,Mature
5623,Adult
5832,Mature
5544,Adult
6417,Adult
5831,Mature
7101,Mature
10176,Mature
2326,Young
4385,Adult
2929,Adult
10686,Mature
2546,Adult
3283,Adult
3138,Mature
4994,Senior
7966,Mature
3112,Adult
10872,Adult
2181,Adult
1867,Mature
1518,Mature
5734,Adult
2878,Senior
1458,Adult
7007,Mature
6200,Mature
1403,Adult
4827,Mature
6250,Mature
9291,Mature
2478,Adult
1139,Young
5138,Mature
5393,Adult
10413,Young
5015,Adult
10868,Mature
10676,Adult
2495,Adult
7842,Mature
9955,Mature
6663,Senior
2162,Adult
3434,Mature
7919,Adult
5626,Mature
6428,Mature
8514,Adult
10448,Mature
2109,Young
7530,Mature
8925,Mature
3009,Mature
6355,Adult
3517,Mature
1158,Mature
6203,Senior
7165,Adult
3595,Mature
8537,Mature
4331,Adult
6281,Mature
4338,Adult
2452,Adult
9507,Adult
8360,Adult
10311,Adult
5117,Mature
4867,Mature
9289,Adult
10913,Young
3032,Young
8524,Adult
3334,Mature
4470,Mature
1406,Adult
8619,Mature
10821,Adult
4552,Young
898,Young
9797,Mature
10949,Mature
8212,Adult
6248,Senior
10164,Mature
4547,Mature
6815,Adult
4122,Adult
10841,Adult
5370,Adult
176,Adult
4860,Adult
10757,Mature
4023,Adult
6679,Mature
9923,Adult
7181,Adult
3599,Adult
405,Mature
6870,Mature
832,Mature
2002,Mature
3657,Young
500,Adult
1951,Adult
3262,Mature
4102,Adult
7042,Adult
10598,Mature
255,Mature
2375,Adult
9829,Adult
6214,Adult
4954,Mature
7861,Mature
4837,Mature
9423,Adult
4198,Mature
153,Mature
9323,Mature
10001,Young
3945,Senior
3799,Mature
8625,Adult
3491,Adult
983,Young
9119,Mature
4786,Adult
5872,Mature
6568,Young
5628,Adult
5631,Young
4974,Adult
8416,Adult
5454,Adult
4095,Adult
5474,Adult
4268,Mature
10701,Adult
3507,Adult
2079,Senior
626,Mature
4426,Adult
2591,Mature
10509,Mature
6382,Mature
6673,Mature
7441,Adult
1071,Adult
10061,Mature
8775,Adult
2345,Adult
322,Adult
10897,Adult
123,Mature
6103,Senior
7899,Mature
10500,Young
1655,Adult
2406,Mature
2712,Mature
5517,Adult
10643,Young
2254,Adult
10281,Adult
6958,Adult
954,Mature
